id	current_source_address	template_LF_escaped	missed_join_in_fixture	decorated_name_hex
tutorial.001b6d2b	0x90138e4	$m0 is asleep and\ncannot trip!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6d50	0x9013918	The staff kept\n$m0 from tripping!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6da9	0x9013984	$m1's HP fell to a\nquarter!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6dbd	0x90139a0	$m1 lost a great\ndeal of HP!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6dff	0x90139fc	$m0 waved a Shaman\nstaff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e15	0x9013a18	$m0 waved an\nAcceleratle staff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e2f	0x9013a38	$m0 waved a\nSorcerer staff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e49	0x9013a54	$m0 waved an\nAcceleratle staff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e63	0x9013a74	$m0 waved a Rage\nstaff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e7b	0x9013a8c	$m1 flew into a\nrage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6e8b	0x9013aa4	$m1 is sealed and\ncannot feel rage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6ea9	0x9013ac8	$m1 is already\nenraged!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6ef8	0x9013b3c	$m1 now shares\n$t's pain!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6f3c	0x9013b88	$m0 called for\nmonsters!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6f60	0x9013bb4	$m1 avoided the\ncurse.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6fb0	0x9013c2c	$m0 uttered strange\nwords!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b7016	0x9013cb0	$m0 spat rotten\nfluid!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b7761	0x9014500	$m1 started acting\nstrangely.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b7771	0x9014520	$m0 clamped the\ntarget's mouth shut!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b7783	0x9014548	$m0 clamped the\ntarget's mouth shut!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b7793	0x911f364	$m0 struck with a\nknockback blow!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b77de	0x90145dc	$m0 developed a leaky\nbelly!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b77f6	0x90145fc	$m1 returned to\nnormal.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5b1d	0x900fec0	$m0 avoided the\npoison.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5b32	0x900fed8	$m0 is immune to\npoison\non this floor.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5b70	0x900ff28	The poison had no effect on\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5c20	0x911f420	$m0 released\npoisonous spores!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5c78	0x911f440	$m0 cast a strange\nspell!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5c8c	0x9010070	$m1 can no longer\nrecover HP.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5cf9	0x911f470	$m0 waved a Lump\nmage staff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5d1a	0x911f490	$m0 waved a Lump\nwizard staff!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5d5f	0x9010150	$m1's speed did not\nchange.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5d75	0x901016c	$m1's speed did not\nchange.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5db5	0x90101c0	$m0 slowed to half\nspeed.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5dc5	0x90101dc	$m0 returned to\nnormal speed.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5e5c	0x90102dc	$m1 vanished in the\nexplosion.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5f65	0x9010430	Nothing happened to\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b5fdc	0x911f4e8	$m0 used a\nparalysing attack!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6127	0x9010538	$m1 can no longer\nrecognise items!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6142	0x911f508	$m0 gave a thorough\nlicking.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6167	0x9010590	$m1's magic was\nsealed!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b617c	0x90105a8	$m1's magic is\nalready sealed.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b61a6	0x90105d8	$m1 is already\nsealed!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b61ba	0x90105f0	$m1 already cannot\nuse its mouth.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b61cf	0x9010614	$m1 can no longer\nuse its mouth.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b61f3	0x9010648	Nothing changed for\n$m1!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6382	0x9010840	$m1 recovered\n$d0 Strength!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6398	0x901085c	$m1's Strength was\nfully restored!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b63ab	0x9010880	$m1's Strength was\nfully restored!\nMaximum Strength rose by $d0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b63d8	0x90108c4	$m1's maximum\nStrength\nrose by $d0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b63f6	0x90108e8	$m1's Attack rose by\n$d0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6410	0x911f568	$m0 performed a\nSultry Dance!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6424	0x911f588	$m0 used a hunger\nattack!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6438	0x9010940	$m1 cannot stop\ndancing!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b6455	0x901095c	$m1 is already\ndancing!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b64ac	0x90109c8	$m0 is building up\npower...	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
help.001b64d6	0x911f5a4	$m0 hid in its shell\nto defend itself!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b7fbf	0x906303c	$m1 can no longer\nmove!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b7ff1	0x9063068	$m1 is already\nwhiffing!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8008	0x9063084	$m1 converted the\neffect into damage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b80a5	0x906315c	$m1's maximum HP\nfell by $d0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b80d9	0x9063198	$m1's vision returned\nto normal!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b80e9	0x90631bc	$m1 can now see\ninvisible things!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b810a	0x90631e0	$m1 took the form of\nTorneko.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8122	0x9063200	$m0 stopped looking\nlike Torneko.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b81c9	0x90632e8	$m0 swallowed\n$i0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b81de	0x90632fc	$m0 tried to spit out\nan ally!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8228	0x9063368	$m1 cannot get any\nweaker.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8250	0x906339c	$m1 turned into\nRotten bread.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8443	0x9063654	$m0's self-destruct\nfailed to go off.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b845b	0x906367c	$m0 emitted a bright\nlight!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b846d	0x9063698	$m0 emitted a bright\nlight!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8495	0x90636e4	$m0 swung an axe\nwith all its might!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b84ab	0x906370c	$m0 attacked\nfiercely!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b86a4	0x9063978	$m0 cast Magic\nBurst!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b86d0	0x90639a4	$m0 shredded\n$t's $i0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b870e	0x911f6a8	$m0 found no items\nto shred!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b872d	0x9063a14	$m0 waits and\nwatches...	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8741	0x9063a30	$m0 extended its\nscythe.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8753	0x9063a4c	$m0 shredded an\nitem.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b885b	0x9063b78	$m1's attack power\nrose!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b888d	0x9063bc0	$m0 swung a sword\nwith all its might!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b88a3	0x9063be8	$m0 cast a seal on\nyou!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b88ee	0x9063c38	$m0 made a sweeping\nattack!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8900	0x911f6c8	$m0 was swept off\nits feet!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8927	0x9063c80	$m0 used Blade of\nUltimate Power!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8a64	0x9063dcc	$m1 was sucked into\nthe pot!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8a77	0x9063dec	$m1's presence\nvanished!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8aa0	0x9063e38	$m1 was trapped in\nthe pot!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8abf	0x9063e64	$m1 was caught in\nthe wind!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8b20	0x9063ef8	$m0 swung its horns\nin a great arc!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8b38	0x9063f1c	$m1 was knocked\naway.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8b9b	0x9063fa8	The splash of water weakened\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8c38	0x9064090	$m1 is already wide\nawake!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8d40	0x90641f8	$m0 breathed an icy\nblast!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8d83	0x9064250	$m0 tried to throw\n$i0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8dd9	0x90642d4	$m1 was pulled\ncloser!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8e6e	0x90643b0	$m0 transformed into\n$m1!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8e80	0x90643cc	$m0 changed into\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b8e92	0x90643e4	$m0 took the form of\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9256	0x9064898	$m0 charged its\nsword with power!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9268	0x90648bc	$m0 stole\n$i0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b927a	0x90648cc	$m0 tried to steal an\nitem!\nBut could not steal anything!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b92a6	0x9064908	$m0 tried to steal an\nitem!\nBut there was nothing to steal.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b92cf	0x9064944	$m0 stole\n$d0 G from\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b932e	0x90649b8	$m0 tried to steal\nmoney!\nBut could not steal any.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b93ff	0x9064ab8	A statue flew at\n$m0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9630	0x9064d6c	But it had no effect on\n$m0!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9891	0x9064ffc	$m0 joined your\nallies!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b98a6	0x9065014	$m0 left, looking\nlonely...	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9c2b	0x9065400	$m0 unleashed an evil\nmist!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9ca3	0x90654b4	$m0 is unharmed by\nthe flames!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9d54	0x90655d0	$m0 did not swap\nplaces.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
battle.001b9db0	0x9065650	$m0 recovered HP on\nthe water!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
