row	japanese	english	status	reference_game	source	note
27	封の剣	Sealing sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
28	魔法の剣	Magic sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
29	如意棒	Extending staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
30	グレイトソード	Great sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
31	ボンバーキラー	Bombslayer	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
32	スパークソード	Spark sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
33	オーシャンロッド	Ocean rod	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
34	ルカナンソード	Kasap sword	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Kasap	Project item compound using the exact Japanese series term(s): Kasap. The whole item name is not claimed to be an official localization.
35	ゴールドウィップ	Gold whip	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
36	キラーヘッド	Killer head	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
37	おおきづち	Giant mallet	modern_official_name_secondary_evidence	Dragon Quest VII 3DS / VIII 3DS	https://dragon-quest.org/wiki/Giant_mallet	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text. Weapon おおきづち is Giant mallet; the identically written monster is Hammerhood. Identity scope must remain separate.
38	ブレッドハンド	Bread hand	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
39	さきぼそりの剣	Fading sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
40	シャドーブレイク	Shadow breaker	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
41	うみどりの爪	Seabird claws	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
42	銀の爪	Silver claws	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
43	ゴールドクロウ	Gold claws	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
44	エレファントクロウ	Elephant claws	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
45	クロウアンドレア	Claw andrea	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Claw andrea is provisional romanization. No official English match established; claw-and-rare and Andreal derivations are unproven fan hypotheses.
46	青銅の盾	Bronze shield	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Bronze_shield	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
47	鋼鉄の盾	Steel shield	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Steel_shield	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text. T3 鋼鉄の盾 is read はがねのたて in its description.
48	はぐれメタルの盾	Liquid metal shield	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Liquid_metal_shield	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
49	やいばの盾	Blade shield	provisional_torneko2_fallback	Torneko: The Last Hope, PlayStation English release	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107	Guide lists Blade in shields with reflection. Japanese-to-English identity is inferred from name/effect; category word expanded for the heading. Seek a direct game capture or modern exact match.
50	メタルキングの盾	Metal king shield	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Metal_king_shield	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
51	爆発よけの盾	Blastproof shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
52	黄金の盾	Golden shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
53	印の盾	Sigil shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
54	ロトの盾	Erdrick's shield	modern_official_name_secondary_evidence	Dragon Quest I / II HD-2D Remake	https://dragon-quest.org/wiki/Erdrick%27s_Shield	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
55	使いすての盾	Disposable shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
56	クロムシールド	Chrome shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
57	真紅の盾	Crimson shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
58	木の盾	Wooden shield	project_choice			Literal translation. No modern official exact equivalent established; do not equate it with a pot lid or leather shield.
59	ラウンドシールド	Round shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
60	こうらの盾	Shell shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Do not substitute another item with a similar English meaning: こうらの盾 is not カメのこうら armour; 毒けしの指輪 is not 破毒のリング; 命の草 is not いのちのきのみ.
61	ホワイトクロス	White cross	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
62	宝飾の盾	Jewelled shield	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
63	よび63	Reserved 63	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
64	封印の杖	Sealing staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
65	身代わりの杖	Decoy staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
66	場所替えの杖	Swap staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
67	いかずちの杖	Lightning staff	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Lightning_staff	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
68	ボミオスの杖	Deceleratle staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Deceleratle	Project item compound using the exact Japanese series term(s): Deceleratle. The whole item name is not claimed to be an official localization.
69	ラリホーの杖	Snooze staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Snooze	Project item compound using the exact Japanese series term(s): Snooze. The whole item name is not claimed to be an official localization.
70	メダパニの杖	Fuddle staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Fuddle	Project item compound using the exact Japanese series term(s): Fuddle. The whole item name is not claimed to be an official localization.
71	バシルーラの杖	Bazoom staff	project_compound_using_official_term	Dragon Quest VI DS / VII 3DS; Dragon Quest XI	https://dragon-quest.org/wiki/Bazoom; https://dragon-quest.org/wiki/Zoom	Project item compound using the exact Japanese series term(s): Bazoom, Zoom. The whole item name is not claimed to be an official localization.
72	へんげの杖	Shapeshift staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
73	ピオリムの杖	Acceleratle staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Acceleratle	Project item compound using the exact Japanese series term(s): Acceleratle. The whole item name is not claimed to be an official localization.
74	レムオルの杖	Fade staff	project_compound_using_official_term	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Fade	Project item compound using the exact Japanese series term(s): Fade. The whole item name is not claimed to be an official localization.
75	転ばぬ先の杖	Surefoot staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
76	分裂の杖	Splitting staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
77	ザキの杖	Whack staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Whack	Project item compound using the exact Japanese series term(s): Whack. The whole item name is not claimed to be an official localization.
78	もろはの杖	Double-edged staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
79	大損の杖	Great loss staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
80	モノカの杖	Itemizing staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
81	げんじゅつしの杖	Lump mage staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/w/index.php?title=Lump_mage	Project item compound using the exact Japanese series term(s): Lump mage. The whole item name is not claimed to be an official localization.
82	ドルイドの杖	Lump wizard staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Lump_wizard	Project item compound using the exact Japanese series term(s): Lump wizard. The whole item name is not claimed to be an official localization.
83	ホイミの杖	Heal staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Heal	Project item compound using the exact Japanese series term(s): Heal. The whole item name is not claimed to be an official localization.
84	ふきとばしの杖	Knockback staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
85	黄金の杖	Golden staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
86	きとうしの杖	Shaman staff	project_compound_using_official_term	Dragon Quest IX	https://dragon-quest.org/wiki/Shaman	Project item compound using the exact Japanese series term(s): Shaman. The whole item name is not claimed to be an official localization.
87	ようじゅつしの杖	Sorcerer staff	project_compound_using_official_term	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Sorcerer	Project item compound using the exact Japanese series term(s): Sorcerer. The whole item name is not claimed to be an official localization.
88	おびえの杖	Fear staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
89	ルカニの杖	Sap staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Sap	Project item compound using the exact Japanese series term(s): Sap. The whole item name is not claimed to be an official localization.
90	バーサーカーの杖	Berserker staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
91	ミミックの杖	Mimic staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
92	丸得の杖	Great gain staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
93	モンスター識別の杖	Monster identification staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
94	マヌーサの杖	Dazzle staff	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Dazzle	Project item compound using the exact Japanese series term(s): Dazzle. The whole item name is not claimed to be an official localization.
95	草なげの杖	Herb throw staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
96	草うけの杖	Herb catch staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
97	トンネルの杖	Tunnelling staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
98	イカリの杖	Rage staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
99	とびつきの杖	Lunge staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
100	レミーラの杖	Glow staff	project_compound_using_official_term	Dragon Quest I Mobile / Switch	https://dragon-quest.org/wiki/Glow	Project item compound using the exact Japanese series term(s): Glow. The whole item name is not claimed to be an official localization.
101	かなしばりの杖	Binding staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
102	一時しのぎの杖	Reprieve staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
103	痛みわけの杖	Shared pain staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
104	ひきよせの杖	Pulling staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
105	火柱の杖	Fire pillar staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
106	万能の杖	Panacea staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
107	クオーターの杖	Quarter staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
108	氷柱の杖	Ice pillar staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
109	砂柱の杖	Sand pillar staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
110	風の杖	Wind staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
111	ゴッドスパークの杖	Godspark staff	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
112	木彫りのバット	Carved bat	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
113	よび113	Reserved 113	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
114	よび114	Reserved 114	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
115	銀のダーツ	Silver dart	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
116	木の矢	Wooden arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
117	鉄の矢	Iron arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
118	銀の矢	Silver arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
119	ブーメラン	Boomerang	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Boomerang_(weapon)	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
120	魔法の矢	Magic arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
121	毒の矢	Poison arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
122	黄金の矢	Golden arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
123	まじんの矢	Demon arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
124	ふきとばしの矢	Knockback arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
125	会心の矢	Critical arrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
126	マルチアロー	Multiarrow	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
127	よび127	Reserved 127	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
128	石	Stone	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
129	魔法の石	Magic stone	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
130	ようがん石	Lava stone	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
131	岩	Rock	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
132	大砲の弾	Cannonball	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
133	通過の指輪	Passage ring	provisional_torneko2_fallback	Torneko: The Last Hope, PlayStation English release	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107	Guide lists Passage in rings with water walking. Japanese-to-English match inferred from name/effect; category word expanded.
134	値切りの指輪	Haggler's ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
135	回復の指輪	Recovery ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
136	傷みよけの指輪	Wearproof ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
137	会心の指輪	Critical ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
138	痛恨の指輪	Brutal blow ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
139	呪いよけの指輪	Curseproof ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
140	遠投の指輪	Longthrow ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
141	しあわせの指輪	Happiness ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
142	たれ流しの指輪	Spillage ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
143	透視の指輪	Farsight ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
144	混乱よけの指輪	Clarity ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
145	インパスの指輪	Peep ring	project_compound_using_official_term	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Peep	Project item compound using the exact Japanese series term(s): Peep. The whole item name is not claimed to be an official localization.
146	ちからの指輪	Strength ring	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Strength_ring	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
147	毒けしの指輪	Antidote ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Do not substitute another item with a similar English meaning: こうらの盾 is not カメのこうら armour; 毒けしの指輪 is not 破毒のリング; 命の草 is not いのちのきのみ.
148	眠らずの指輪	Sleepless ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
149	ルーラの指輪	Zoom ring	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Zoom	Project item compound using the exact Japanese series term(s): Zoom. The whole item name is not claimed to be an official localization.
150	ハラヘラズの指輪	Satiation ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
151	とうぞくの指輪	Thief's ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
152	きれいな指輪	Pretty ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
153	シャドーの指輪	Shadow ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
154	ハラペコの指輪	Ravenous ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
155	ワナぬけの指輪	Trapproof ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
156	人形よけの指輪	Doll ward ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
157	ザメハの指輪	Cock-a-doodle-doo ring	project_compound_using_official_term	Dragon Quest XI	https://dragon-quest.org/wiki/Cock-a-doodle-doo	Project item compound using the exact Japanese series term(s): Cock-a-doodle-doo. The whole item name is not claimed to be an official localization.
158	黄金の指輪	Golden ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
159	爆発の指輪	Explosion ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
160	命の指輪	Life ring	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Life_ring	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
161	まもりの指輪	Protection ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
162	ハラモチの指輪	Slow hunger ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
163	ふつうの指輪	Plain ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
164	指輪164	Ring 164	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
165	ドラゴンの指輪	Dragon ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
166	よび	Reserved	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists. Reserved/debug/object rows retain their identity; no promise of ordinary obtainable-item use.
167	魔封じの指輪	Magic ward ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
168	見切りの指輪	Evasion ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
169	ミニデーモンの指輪	Minidemon ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
170	技封じの指輪	Skill ward ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
171	母の形見	Mother's keepsake	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
172	メタルリング	Metal ring	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
