id	family	japanese	full_english	display	glossary_references	wording_status	notes
tutorial.001b5032	joined_damage	$m0から	$m0:			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Leading ! is a history continuation control, never a visible exclamation mark.
tutorial.001b5038	joined_damage	!会心の一撃！$m1は<CR>$d0ダメージ受けた。	!Critical hit! $m1<LF>takes $d0 damage.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Leading ! is a history continuation control, never a visible exclamation mark.
tutorial.001b505b	joined_damage	!痛恨の一撃！$m1は<CR>$d0ダメージ受けた。	!Brutal blow! $m1<LF>takes $d0 damage.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Leading ! is a history continuation control, never a visible exclamation mark.
tutorial.001b507e	joined_damage	!$m1は $d0ダメージ受けた。	!$m1 takes<LF>$d0 damage.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Leading ! is a history continuation control, never a visible exclamation mark.
tutorial.001b5096	message	装備している盾が 威力をはね返した！	The equipped shield reflected the damage!		interface.action.027	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b50b1	message	$m0は 様子を見ている…。	$m0 waits and watches...			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b50c5	message	$m0だ！	It's $m0!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b50cd	message	なんと！どこからともなくモンスターが現れた！	A monster appeared out of nowhere!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b50ee	message	$tは　お店に<CR>足をふみ入れた。	$t entered the shop.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5104	message	$tは　お店から出た。	$t left the shop.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5114	message	$m0は 目を覚ました。	$m0 woke up.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5124	object	物体	objects			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5129	object	アイテム	items			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5132	object	石像	statues			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5137	object	アイテムや石像	items and statues			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5145	object	お墓	graves		combined_item_349	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5149	object	アイテムやお墓	items and graves		combined_item_349	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5156	object	アイテムや石像	items and statues			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5164	object	石像などのもの	statues and other objects			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b516f	message	$i0は 祝福から$/084普通に戻った。	$i0 is no longer blessed.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b518c	message	いくつかのアイテムは 祝福から<CR>普通に戻った。	Some items are no longer blessed.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5b85	message	$m0は ちからが半減した。	$m0's strength was halved.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5b98	message	$m0は ちからが弱まった！	$m0's strength fell!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5bab	message	$m0は ちからがかなり弱まった！	$m0's strength fell greatly!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b5ebf	message	$i2は 不発した。	$i2 failed to work.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6002	message	$i3が$m0の<CR>魔法を消し去った！	$i3 cancelled<LF>$m0's magic!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b601c	message	$i3が$m0への<CR>魔法の効果を消し去った！	$i3 cancelled the magic affecting $m0!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b603c	message	$m0は マホトーンされている！	$m0 is under Fizzle!		spell.fizzle	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6053	message	$m1は 魔法を封じた！	$m1 sealed the magic!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6065	message	魔法は 指輪によって封じられた！	The ring sealed the magic!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b607e	message	$i3が$m0の<CR>投げたアイテムの効果を消し去った！	$i3 cancelled the effect of $m0's thrown item!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b60a6	message	$i3が$m0に<CR>当たったアイテムの効果を消し去った！	$i3 cancelled the item effect on $m0!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b60cf	message	$i3が$m0の<CR>発射したアイテムの効果を消し去った！	$i3 cancelled the effect of $m0's fired item!		interface.action.026	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b65cf	message	足元の石につまづいた！	Tripped over a stone underfoot!		combined_item_128	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b65e0	message	石がでっぱっている！	A stone sticks out of the ground!		combined_item_128	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b65f2	message	何か変なものが降ってきた！	Something strange rained down!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6606	message	足元で何かが うごめいた！	Something stirred underfoot!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b661b	message	何かがうごめいた！	Something stirred!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6629	message	キタナイものがふき出した！	Something filthy gushed out!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b663e	message	落とし穴があった！	There was a pitfall!		interface.trap.005	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b664d	message	ワープのワナをふんだ！	Stepped on a warp trap!		interface.action.008,interface.trap.006	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6660	message	ワープのワナがあった！	There was a warp trap!		interface.action.008,interface.trap.006	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6674	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6683	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6692	message	回転盤をふんだ！	Stepped on a spinning tile!		interface.trap.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66a0	message	回転盤があった！	There was a spinning tile!		interface.trap.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66af	message	睡眠ガスが発生！	Sleeping gas billowed out!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66c0	message	変なものをふんだ！	Stepped on something strange!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66cd	message	変なものがあった！	There was something strange!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66db	message	変なスイッチをふんだ！	Stepped on a strange switch!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b66ee	message	変なスイッチが作動した！	A strange switch went off!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6704	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6713	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6722	message	足元の地雷が爆発した！	A land mine exploded underfoot!		interface.trap.013	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6736	message	地雷が爆発した！	A land mine exploded!		interface.trap.013	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6745	message	足元の大型地雷が爆発した！	A large land mine exploded underfoot!		interface.trap.013,interface.trap.014	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b675d	message	大型地雷が爆発した！	A large land mine exploded!		interface.trap.013,interface.trap.014	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6770	message	おかしなスイッチをふんだ！	Stepped on an odd switch!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6784	message	弱化のワナだ！	It's a weakening trap!		interface.action.008,interface.trap.015	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6792	message	大きな岩が落ちてきた！	A huge rock came falling down!		combined_item_131	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67a3	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67b2	message	$i0が飛んできた！	$i0 came flying!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67c1	message	あやしい霧が あたりをつつんだ！	A strange mist filled the area!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67d6	message	なんだか分からないワナが作動した！	An unknown trap went off!		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67f0	message	何かワナをふんだ！	Stepped on a trap!		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b67ff	message	しかし ワナは動かなかった。	But the trap did not go off.		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6813	message	$i0には効果がなかった。	It had no effect on $i0.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6826	message	お墓には効果がなかった。	It had no effect on the grave.		combined_item_349	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6839	message	封印されるアイテムを持っていなかった。	There were no items to seal.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6857	message	持っているアイテムは封印されなかった。	The carried items were not sealed.		mechanic.sealed	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6875	message	$i0の いくつかの<CR>特別な効果が 封印された！	Some special effects of<LF>$i0 were sealed!		mechanic.sealed	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6896	message	$i0の<CR>特別な効果が 封印された！	The special effects of<LF>$i0 were sealed!		mechanic.sealed	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b68b1	message	$m1は空振り状態になった。	$m1 is now whiffing.		core.whiffing	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b68c6	message	$m0は 不思議な踊りを踊った！	$m0 performs Weird Dance!		ability.weird_dance	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b68de	message	$m1は レベルが下がった。	$m1's level fell.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b68f5	message	しかし 何も起こらなかった。	But nothing happened.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6908	message	$m1は 指輪の効果で<CR>レベルが下がらなかった。	The ring stopped<LF>$m1's level from falling.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b692e	message	$m0は ワナを作りなおした！	$m0 remade a trap!		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6942	message	$m0は ワナを作った！	$m0 made a trap!		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6954	message	ここにはワナは作れない。	A trap cannot be made here.		interface.action.008	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6965	message	$m1のちからの最大値が$d0下がった。	$m1's maximum strength fell by $d0.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6982	message	$m1のちからが 半減した。	$m1's strength was halved.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6995	message	$m1のちからはもう下がらない！	$m1's strength cannot fall any further!			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b69a9	message	$m1は 指輪の効果で<CR>ちからが下がらなかった。	The ring stopped<LF>$m1's strength from falling.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b69cc	message	$m1は パンの効果で<CR>ちからが下がらなかった。	The bread stopped<LF>$m1's strength from falling.		bread	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b69ef	message	$m1は 草の効果で<CR>ちからが下がらなかった。	The herb stopped<LF>$m1's strength from falling.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a10	message	$m1の最大HPが$d0下がった。	$m1's maximum HP fell by $d0.		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a29	message	$m1のHPが 半減した。	$m1's HP was halved.		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a3b	message	$m1のHPは１になった！	$m1's HP fell to 1!		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a4c	message	$m1のHPはもう下がらない！	$m1's HP cannot fall any further!		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a5f	message	$m1は 指輪の効果で<CR>最大HPが下がらなかった。	The ring stopped<LF>$m1's maximum HP from falling.		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a85	message	$m0は 吸収光線を出した。	$m0 fired an absorption beam.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6a9a	message	$m0は 吸収光線を出した。	$m0 fired an absorption beam.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6aaf	message	$m1は 防御力が下がった。	$m1's Defence fell.		defence	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6ac6	message	もう防御力は変化しなかった。	Defence did not change any further.		defence	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6adc	message	$m1は 攻撃力が弱まった！	$m1's Attack fell!		interface.action.005	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
tutorial.001b6af2	message	攻撃力は変化しなかった。	Attack did not change.		interface.action.005	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage.
