id	japanese	full_english	glossary_references	notes
journey.00b7aa6c	“光に照らされる者は　光の中におり<LF>過去をうつす鏡は　過去の中にある”	'Those lit by the light dwell in light. The mirror of the past lies in the past.'		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7aab4	そこには　古代文字のようなもので<LF>こう　きざまれている。	Something like ancient writing is carved into the stone. It reads:		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7aaec	$tは　壁の石版の文字を　ながめた。	$t examined the writing on the stone tablet in the wall.	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7ac18	トビラの中央には　何かを　埋め込むような<LF>くぼみが　ある……。	There is a hollow in the middle of the door, as if something should fit inside...		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7ac58	$tは　目の前のトビラを　ながめた。	$t examined the door ahead.	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7ad0c	神々の星が　すいこまれるように<LF>トビラのくぼみに　はまっていった！	The Star of the Gods slipped into the hollow in the door, as though drawn inside!	lore.star_of_the_gods	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7ad50	ポポロが　たずさえた　神々の星が<LF>少しずつ　輝きはじめた！	The Star of the Gods that Tipper carried began to glow!	enemy_tipper,lore.star_of_the_gods	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b84f18	この先はダンジョン<LF>いざないの洞くつ　へ戻ります。<LF>よろしいでしょうか？	Return to the dungeon<LF>Beckoning cavern?	interface.dungeon.001	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b84fe0	この先はダンジョン<LF>南海の地下道　へ進みます。<LF>よろしいでしょうか？	Continue into the dungeon<LF>South Sea tunnel?	interface.dungeon.002	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b853cc	＊「封印のワナについては　そんなところじゃ。<LF><TAB>他にも　聞きたいかね？	"???: ""That's all on Sealing traps. Anything else you'd like to hear?"""	interface.trap.011	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85414	＊「つらいかもしれんが<LF><TAB>そこはガマンが　大切じゃ！	"???: ""It may be tough, but patience is the key!"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85448	＊「ほおっておいても　元には<LF><TAB>戻ってくれんでのう…。	"???: ""Leaving them alone won't restore them, you see..."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85480	＊「しかし　封印されてしまったアイテムを<LF><TAB>元に戻すには　使いつづけるしか<LF><TAB>ないのじゃ。	"???: ""To restore a sealed item, you have to keep using it."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b854d8	＊「こりゃ　困った！！<LF><TAB>いっこくも　はやく<LF><TAB>元に戻したいところじゃろ？	"???: ""Quite a nuisance! You'll want to fix that as soon as you can, eh?"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85520	＊「封印されたアイテムは<LF><TAB>名前が赤くなって　特殊な能力が<LF><TAB>使えなくなってしまう。	"???: ""A sealed item's name turns red, and its special powers stop working."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85574	＊「このワナは　お前さんの<LF><TAB>持っておる武器や　指輪などを<LF><TAB>封印してしまうんじゃ。	"???: ""It seals items you're carrying, such as weapons and rings."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b855c8	＊「ワナには　いろいろと種類があるが<LF><TAB>そのなかに　封印のワナ　と<LF><TAB>いうものがあってな。	"???: ""There are all sorts of traps. One of them is called a Sealing trap."""	interface.trap.011	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85620	＊「ワナについては　そんなところじゃ。<LF><TAB>他にも　聞きたいかね？	"???: ""That's all on traps. Anything else you'd like to hear?"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85660	＊「ダンジョンで　新しい部屋に<LF><TAB>入った時は　念のため　しらべるのも<LF><TAB>いいかもしれんな。	"???: ""When you enter a new room, it may be wise to check for traps, just in case."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b856b8	＊「お前さんが　武器をふれば<LF><TAB>目の前にあるワナを　見つけることが<LF><TAB>できるのじゃ。	"???: ""Swing your weapon to reveal any trap right in front of you."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b8570c	＊「体力に　よゆうのあるときは<LF><TAB>まだいいが　そうでないときは<LF><TAB>ワナをさぐりながら　進むべし。	"???: ""If you're healthy, you may manage. If not, search for traps as you go."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b8576c	＊「なかには　そのワナをふむと<LF><TAB>ばくはつして　大ダメージを<LF><TAB>受ける　おそろしいものもある。	"???: ""Some nasty traps explode when you step on them, dealing heavy damage."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b857c8	＊「眠くなってしまう　睡眠ガスの<LF><TAB>ワナや　どこかへ飛ばされる<LF><TAB>ワナなど　たくさんじゃ。	"???: ""Others release sleeping gas or send you flying somewhere else. So many kinds!"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85820	＊「お前さんに向かって　木の矢が<LF><TAB>飛んでくるワナや　回転して<LF><TAB>目が回ってしまうワナ。	"???: ""Some fire Wooden arrows at you. Others spin you round until you're dizzy."""	combined_item_116	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85878	＊「ダンジョンには　いろんな<LF><TAB>おそろしいワナが<LF><TAB>しかけられておる。	"???: ""Dungeons are full of all sorts of fearsome traps."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b858bc	＊「アイテムについては<LF><TAB>そんなところじゃ。<LF><TAB>他にも　聞きたいかね？	"???: ""That's all on items. Anything else you'd like to hear?"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85900	＊「ダンジョンで　ちからつきたら<LF><TAB>お金や　アイテムを　モンスターに<LF><TAB>ぬすまれてしまうからな。	"???: ""Collapse in a dungeon, and monsters will steal your gold and items."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85960	＊「そして　冒険を続けるのが<LF><TAB>無理かな？　と思ったら　いさぎよく<LF><TAB>リレミトの巻物で　戻ること。	"???: ""If you feel you can't go on, swallow your pride and use an Evac scroll to return."""	combined_item_194	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b859c0	＊「ダンジョンには　たくさんの<LF><TAB>アイテムが　落ちておる。<LF><TAB>拾って　使ってみることじゃ。	"???: ""Dungeons are littered with items. Pick them up and try them out."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85a18	＊「自分の体力を　回復できる<LF><TAB>回復の壺や　仲間の体力を<LF><TAB>回復できる　ホイミの杖など…	"???: ""Recovery pots restore your HP, while Heal staffs restore your companions' HP..."""	combined_item_083,combined_item_249	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85a70	＊「そして　たくさんのアイテムを<LF><TAB>持ち歩くのに　かかせない<LF><TAB>保存の壺。	"???: ""And Storage pots are essential for carrying plenty of items."""	combined_item_247	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85ab8	＊「とくに　火炎草などを使えば<LF><TAB>普通のモンスターなら<LF><TAB>ひとたまりもないじゃろう。	"???: ""A Flame herb, for instance, will make short work of most ordinary monsters."""	combined_item_292	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85b0c	＊「はじめのうちは　手に入る道具を<LF><TAB>使って　たたかいを進めていく<LF><TAB>方法を　おぼえるがええ。	"???: ""Early on, learn to fight by making good use of whatever items you find."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85b68	＊「必ず　武器や盾を　手に入れ<LF><TAB>それらを強くすることじゃが…<LF><TAB>それには　多くの時間がかかる。	"???: ""You'll need weapons and shields, and you'll need to strengthen them. That takes time."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85bc8	＊「よいか。　どんな勇者でも<LF><TAB>強い武器　強い盾がなければ<LF><TAB>たたかうことは　むずかしい。	"???: ""Listen. Even a hero struggles to fight without a strong weapon and shield."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85c20	＊「アイテムを　制するものは<LF><TAB>ダンジョンを　制する。<LF><TAB>こりゃ　わしの言葉じゃ。	"???: ""Master your items, and you'll master the dungeon. That's a saying of mine."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85c70	＊「モンスターについては<LF><TAB>そんなところじゃな。<LF><TAB>他にも　聞きたいかね？	"???: ""That's all on monsters. Anything else you'd like to hear?"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85cb8	＊「ただ　こうげきするだけ　じゃなく<LF><TAB>自分が　有利になる　たたかい方を<LF><TAB>研究するのじゃ。	"???: ""Don't just attack blindly. Work out ways to fight that give you an advantage."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85d14	＊「巻物を利用して　かなしばりに<LF><TAB>したりするのも　いいじゃろう。	"???: ""Using a scroll to paralyse them is another good idea."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85d58	＊「たとえば　眠らせる効果のある<LF><TAB>草を　モンスターに投げて<LF><TAB>眠らせたり…	"???: ""For instance, throw a sleep-inducing herb at a monster to put it to sleep..."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85da4	＊「そんなヤツを　１発で<LF><TAB>たおせないうちは　アイテムを<LF><TAB>うまく使って　動きを封じること。	"???: ""Until you can beat them in one hit, use items wisely to stop them moving."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85e00	＊「スピードが速くて<LF><TAB>お前さんが　１回動くうちに<LF><TAB>２回動くヤツも　おるじゃろう。	"???: ""Some are so fast that they move twice for every move you make."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85e54	＊「とくに　気をつけるのは<LF><TAB>お前さんや仲間を　眠らせたり<LF><TAB>混乱させたりするヤツじゃ。	"???: ""Watch out for those that put you or your companions to sleep, or confuse you."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85eac	＊「モンスターには　そりゃ<LF><TAB>いろんなヤツが　おるでなあ…	"???: ""There are all sorts of monsters out there..."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85ee8	＊「ダンジョンについては<LF><TAB>そんなところじゃな。<LF><TAB>他にも　聞きたいかね？	"???: ""That's all on dungeons. Anything else you'd like to hear?"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85f30	＊「入り口の角が　ジャマになって<LF><TAB>モンスターには　当たらない場合も<LF><TAB>あるので　気をつけなされよ。	"???: ""The corner of the doorway may block your blow. Be careful!"""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85f94	＊「そうそう　忘れるところじゃったが<LF><TAB>部屋の入り口などから　ナナメに<LF><TAB>モンスターをこうげきしても…	"???: ""Oh, I nearly forgot. When attacking a monster diagonally from a doorway..."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b85ff8	＊「ヤツラは　水の中にいると<LF><TAB>ダメージを　与えても　すぐに<LF><TAB>回復してしまうのじゃ。	"???: ""While they're in water, they quickly recover any damage you deal."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b8604c	＊「水の中にいるモンスターも<LF><TAB>たたくことは　できるが<LF><TAB>そのまま戦っては　いかんぞ。	"???: ""You can hit monsters in the water, but don't keep fighting them there."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b860a0	＊「うまく　動きまわって<LF><TAB>地面の上に　ゆうどうしてから<LF><TAB>たたくことじゃな。	"???: ""Move around and lure them onto solid ground before attacking."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b860ec	＊「特に　カベの中にいるヤツは<LF><TAB>普通にこうげきしても<LF><TAB>こうげきが　当たらんでの。	"???: ""Normal attacks won't hit monsters inside walls, in particular."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b86140	＊「お前さんが通れない　水や…<LF><TAB>カベなどを　自由に<LF><TAB>通れるモンスターも　おる。	"???: ""Some monsters move freely through water and walls you can't pass through."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b86190	＊「ふむ。　ダンジョンには<LF><TAB>さまざまな　地形があってな…	"???: ""Hmm. Dungeons have all sorts of terrain, you see..."""		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Anonymous speaker remains ???; do not reveal a later identity. Scope includes related return/later protagonist states; not all messages belong to the first visit.
