row	english	reference_game	source	note
132	Tongue fu fighter	Dragon Quest VII reimagined	https://dragon-quest.org/wiki/Tongue_fu_fighter	Exact bilingual reimagined entry.
133	Tongue fu master	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Tongue_fu_master	Exact Japanese species.
134	Rainiac	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Rainiac	Same design/JP; T3 trait independently translated, no VII boss mechanics imported.
135	Quiller	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Quiller	Exact Japanese species.
136	Serial quiller	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Serial_quiller	Preserve localized pun.
137	Natural born quiller	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Natural_born_quiller	Full localized name.
141	Zepling	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Zepling	Exact Japanese species.
142	Healium balloon	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Healium_balloon	Exact Japanese species.
143	Discombombulator	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Discombombulator	Exact Japanese species.
144	Spiny mine	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Spiny_mine	Exact Japanese species.
145	Mastermine	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Mastermine	Exact Japanese species.
146	Briny mine	Dragon Quest VII 3DS	https://dqfan527.xsrv.jp/2024/10/29/briny-mine/	Bilingual species reference.
167	Deathcargot	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Deathcargot	Exact Japanese species.
168	Disastropod	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Disastropod	Exact Japanese species.
169	Perilwinkle	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Perilwinkle	Exact Japanese species.
170	Sizzard	Dragon Quest V DS/mobile	https://dragon-quest.org/wiki/Sizzard	Exact Japanese species.
172	Frizzard	Dragon Quest V DS/mobile	https://dragon-quest.org/wiki/Frizzard	Exact Japanese species.
173	Scarfish	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Scarfish	Exact Japanese species.
174	Trickstar	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Trickstar	Exact Japanese species.
175	Pogoin' penguin	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Pogoin%27_penguin	Exact Japanese species.
176	Rockin' rockhopper	Dragon Quest Monsters: The Dark Prince	https://dragonquest.fandom.com/wiki/Rockin%27_rockhopper	Japanese name may be kana いわとびあくま in other releases.
177	Merderer	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Merderer	Exact Japanese species.
178	Pip fighter	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Pip_fighter	コロ hero, distinct from プチ/Conkuistador.
179	Conkuistador	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Conkuistador	プチ hero variant.
180	Battle pip	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Battle_pip	コロ fighter variant.
181	Conkerer	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Conkerer	プチ fighter variant.
182	Wiz pip	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Wiz_pip	コロ mage variant.
183	Conkjurer	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Conkjurer	プチ mage variant.
184	Epipany	Dragon Quest VII 3DS	https://www.woodus.com/den/games/dq73ds/monsters.php	Bilingual bestiary; intentionally Epipany, preserving pip pun.
185	Conkuisitor	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Conkuisitor	プチ priest variant.
186	Hell Justice	Torneko 3 project choice		Independent romanization; no verified official English localization found.
187	Boss for **	Torneko 3 internal label		Independently translate reserved/debug row; stars rendered as ASCII asterisks.
188	Justice's elder brother	Torneko 3 project choice		Independent translation; regular monster, not a discarded row. Preserves elder-brother distinction.
189	Hell Justice	Torneko 3 project choice		Same named boss as row 186; separate internal form.
190	Reserved	Torneko 3 internal label		Independent translation of reserved slot.
191	Rosa	Torneko 3 project choice		Independent romanization of ロサ; not DQIV Rose/ロザリー.
192	Ines	Torneko 3 project choice		Independent romanization of イネス; no official English name verified.
193	Float-o-copier	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Float-o-copier	Exact Japanese species.
195	Frostburn	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Frostburn	Exact Japanese species.
198	Tipper	Dragon Quest IV DS/mobile	https://dragon-quest.org/wiki/Tipper_Taloon	Modern official first name of ポポロ; older Torneko 2 used Paulo. Story occurrences remain future work.
199	Fake Torneko	Torneko 3 project choice		Independent translation of ニセトルネコ.
