id	japanese	species_japanese	full_english	display	glossary_references	status	source_ids	notes
ally.nickname.021	スラリン	スライム	Gootrude	Gooty	ally.nickname.source-001aa9c8	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Full name retained as Gootrude; Gooty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.022	べスター	スライムベス	Bester	Besty	ally.nickname.source-001aa9bc	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Bester; Besty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.023	メタラン	メタルスライム	Metalan	Metty	ally.nickname.source-001aa9b0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Metalan; Metty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.024	オニオン	オニオーン	Onion		ally.nickname.source-001aa9a4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.025	たまきち	たまねぎマン	Tamakichi	Tama	ally.nickname.source-001aa998	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Tamakichi; Tama is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.026	ビルポ	エビルポット	Bilpo		ally.nickname.source-001aa990	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.027	ヨガジン	ようがんまじん	Yogajin	Yogi	ally.nickname.source-001aa984	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Yogajin; Yogi is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.028	ヒョウマ	ひょうがまじん	Hyoma		ally.nickname.source-001aa978	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.029	マイケル	ゆうれい	Michael	Mikey	ally.nickname.source-001aa96c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Michael; Mikey is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.030	シナス	しにがみ	Shinas	Shina	ally.nickname.source-001aa964	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Shinas; Shina is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.031	シャアマ	シャーマン	Sharma	Sharm	ally.nickname.source-001aa958	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Sharma; Sharm is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.032	ゾマ	ゾンビマスター	Zoma		ally.nickname.source-001aa950	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.033	オーメン	おおめだま	Omen		ally.nickname.source-001aa944	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.034	スペック	スペクテット	Speck		ally.nickname.source-001aa938	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.035	ジャック	トロル	Jack		ally.nickname.source-001aa92c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.036	ボンバス	トロルボンバー	Bombas	Bomba	ally.nickname.source-001aa920	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Bombas; Bomba is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.037	トルキン	トロルキング	Trolkin	Trolk	ally.nickname.source-001aa914	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Trolkin; Trolk is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.038	スミス	くさった死体	Hork		ally.nickname.source-001aa90c	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.039	ジョン	リビングデッド	John		ally.nickname.source-001aa904	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.040	グルカ	グール	Gurka		ally.nickname.source-001aa8fc	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.041	ドレドレ	どくどくゾンビ	Doredore	Dory	ally.nickname.source-001aa8f0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Doredore; Dory is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.042	ドーラ	ドラゴン	Dora		ally.nickname.source-001aa8e8	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.043	キース	キースドラゴン	Keith		ally.nickname.source-001aa8e0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.044	ダース	ダースドラゴン	Darth		ally.nickname.source-001aa8d8	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.045	ボーンズ	がいこつけんし	Bones		ally.nickname.source-001aa8cc	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.046	リョウキ	しりょうのきし	Ryoki		ally.nickname.source-001aa8c0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.047	ブラック	かげのきし	Black		ally.nickname.source-001aa8b4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.048	シルバ	シルバーデビル	Silva		ally.nickname.source-001aa8ac	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.049	バズー	バズズ	Bazoo		ally.nickname.source-001aa8a4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.050	デビッド	デビルロード	David		ally.nickname.source-001aa898	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.051	ゲラゲラ	笑いぶくろ	Giggles	Giggs	ally.nickname.source-001aa88c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Giggles; Giggs is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.052	ジュエル	おどる宝石	Gumdrops	Gumbo	ally.nickname.source-001aa880	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Full name retained as Gumdrops; Gumbo is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.053	キノコ	おばけキノコ	Mush		ally.nickname.source-001aa878	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.054	マタゴン	マタンゴ	Matagon	Mata	ally.nickname.source-001aa86c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Matagon; Mata is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.055	マジタン	マージマタンゴ	Magitan	Magi	ally.nickname.source-001aa860	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Magitan; Magi is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.056	ウィズ	まどうし	Wiz		ally.nickname.source-001aa858	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.057	ワイズ	だいまどう	Wise		ally.nickname.source-001aa850	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.058	ビータン	ベビーサタン	Beatan	Beaty	ally.nickname.source-001aa844	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Beatan; Beaty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.059	ミニモン	ミニデーモン	Thamthon	Tham	ally.nickname.source-001aa838	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Full name retained as Thamthon; Tham is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.060	ミリア	つかいま	Miria		ally.nickname.source-001aa830	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.061	ミスター	ミステリドール	Mister	Misty	ally.nickname.source-001aa824	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Mister; Misty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.062	イッシー	いしにんぎょう	Ishy		ally.nickname.source-001aa818	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.063	どろすけ	どろにんぎょう	Dorosuke	Doro	ally.nickname.source-001aa80c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Dorosuke; Doro is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.064	ペットン	パペットマン	Petton	Petto	ally.nickname.source-001aa800	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Petton; Petto is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.065	ミミー	ミミック	Mimmy		ally.nickname.source-001aa7f8	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.066	ボクセル	ひとくいばこ	Boxel		ally.nickname.source-001aa7ec	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.067	バース	バーサーカー	Bers		ally.nickname.source-001aa7e4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.068	ドラきち	ドラキー	Vlad		ally.nickname.source-001aa7d8	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.069	タッポ	タホドラキー	Tappo		ally.nickname.source-001aa7d0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.070	ラキマ	ドラキーマ	Rakima	Raki	ally.nickname.source-001aa7c8	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Rakima; Raki is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.071	ジェイド	シャドー	Jade		ally.nickname.source-001aa7bc	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.072	あやか	あやしいかげ	Ayaka		ally.nickname.source-001aa7b4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.073	キャロン	ダンスキャロット	Carron	Caro	ally.nickname.source-001aa7a8	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Carron; Caro is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.074	マドラス	マンドラゴラ	Madras	Madra	ally.nickname.source-001aa79c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Madras; Madra is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.075	テンテン	テンツク	Tenten	Tenty	ally.nickname.source-001aa790	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Tenten; Tenty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.076	スッテン	スーパーテンツク	Sutten	Sutty	ally.nickname.source-001aa784	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Sutten; Sutty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.077	トテツク	ラストテンツク	Totetsu	Totty	ally.nickname.source-001aa778	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Totetsu; Totty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.078	イズモン	いたずらもぐら	Izumon	Izzy	ally.nickname.source-001aa76c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Izumon; Izzy is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.079	スコール	キラースコップ	Squall	Squal	ally.nickname.source-001aa760	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Squall; Squal is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.080	キラーマ	キラーマシン	Roborg	Robby	ally.nickname.source-001aa754	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 2. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Full name retained as Roborg; Robby is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.081	メルター	メタルハンター	Melter	Melty	ally.nickname.source-001aa748	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Melter; Melty is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.082	キンドー	きめんどうし	Kindo		ally.nickname.source-001aa73c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.083	ゲーツ	げんじゅつし	Gates		ally.nickname.source-001aa734	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.084	ドルルン	ドルイド	Dorurun	Doru	ally.nickname.source-001aa728	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Dorurun; Doru is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.085	アーカン	あくましんかん	Arkan		ally.nickname.source-001aa71c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
