offset	english
009D5A34	???: "I can't serve Master Gamlan a poor meal, now can I? Grumble, grumble..."
009D5A88	???: "So much to do... With no fresh fish being caught, I'll have to get creative."
009D5B38	Chief: "They say strange mazes appear outside the village, dragging travellers below."
009D5BAC	Chief: "Listen, Torneko. I know you are anxious, but you must not leave this village."
009D5EA8	Ines: "Yes, Grandfather!"
009D5EC8	Chief: "Ines, you are coming with me. Understood?"
009D5F0C	Chief: "I am sorry, but could you wait a little longer?"
009D5F48	Chief: "For now, I must go to the northern shrine and examine the statue."
009D5F98	Chief: "I may know a way to help Tipper, but..."
009D5FDC	Chief: "Torneko. Something most alarming seems to have happened."
009D6020	Chief: "How could this be...? Could that storm have been...?"
009D6058	Chief: "W-what?! The sacred statue has fallen?!"
009D608C	???: "The statue of our god... In the storm... It f-f-fell over!"
009D60CC	???: "S-something terrible! I went to check the northern shrine this morning..."
009D6120	Chief: "Hmm? What is it? I am discussing something important with Torneko!"
009D617C	???: "Huff... Puff... Ch-chief!"
009D61A0	Chief: "What on earth could have happened...?"
009D61C8	Chief: "What?! You mean he has not woken up since then?"
009D6210	Chief: "Hmm? Your son is still asleep?"
009D6244	Chief: "Ah, Torneko! What is the matter? You look so worried..."
009D6478	Chief: "Monsters may take your money and belongings, but your battle experience remains."
009D64E0	Chief: "Even if you collapse along the way, do not give up. Keep trying."
009D6530	Chief: "You are an experienced traveller. I shall spare you needless advice, but..."
009D6580	Chief: "Ah, Torneko. So you are setting off at last."
009D65F4	Ines: "If Rosa causes you any trouble, please do not hesitate to tell me."
009D6658	Ines: "May the god of Barinabo watch over you, Torneko."
009D66F4	Rosa: "Back to studying under Grandpa Gamlan... I miss our travels, Torneko. Sigh."
009D6758	Rosa: "Aww... Studying under Grandpa Gamlan again..."
009D6998	Chief: "If it happened beyond the Gate of Truth... Well, please do not trouble yourself."
009D69F8	Chief: "But that was long ago. You probably heard about someone else."
009D6A44	Chief: "...That was how fierce it was. It was as though a demon were behind it."
009D6A9C	Chief: "Such a fierce storm... Had we survived, or my daughter and her husband? I could not tell..."
009D6B04	Chief: "Yes, Viola is my daughter. A great storm separated us long ago..."
009D6B60	Chief: "Hmm? What is that? You heard something about Viola on your journey?"
009D6BB0	Chief: "Ah, Torneko, you have returned. How are your travels going?"
009D6BFC	Chief: "Take care, Torneko. May the god of Barinabo watch over you."
009D6C58	Ines joined the party in Rosa's place!
009D6C88	Ines: "I shall do my best to help you on your journey this time, Torneko."
009D6CE8	Ines: "Honestly, Rosa! You never thought of travelling with Torneko as training, did you?"
009D6D40	Rosa: "Tch. No fun at all. Back to training in the village..."
009D6D7C	Chief: "Very well, Rosa. Your task is over. Let Ines take your place."
009D6DD4	Chief: "Take care, Torneko. May the god of Barinabo watch over you."
009D6E24	Chief: "Very well. If you insist, Rosa shall continue to accompany you."
009D6E80	Chief: "Then you would like Ines to take Rosa's place. Is that right?"
009D6ED8	Chief: "Yes. I thought as much."
009D6EFC	Chief: "Are you willing to keep Rosa with you, even if he makes things harder than Ines?"
009D6F5C	Chief: "Oh? So even Rosa is of some use to you."
009D6F94	Chief: "If you leave Rosa here, he may sulk and never join you again. Is that all right?"
009D7000	Chief: "It was too much for Rosa after all... I shall send Ines in his place."
009D7058	Chief: "Then Rosa shall stay with you. May the god of Barinabo watch over you, Torneko."
009D70B8	Chief: "If you wish, shall I send Ines to accompany you instead of Rosa?"
009D710C	Chief: "Surely having Rosa with you is a terrible burden?"
009D715C	Chief: "I am sorry I cannot help more. At least make yourself comfortable while here."
009D71B8	Chief: "The journey far to the north must be very long and difficult."
009D7200	Chief: "Ah, Torneko! Welcome back!"
009E178C	A map hangs on the wall. The small island drawn far to the south seems to be this one.
009E192C	???: "Are you awake, Tipper? Breakfast is ready. Come downstairs!"
009E1A10	Rosa: "Ahh... I can't wait to get out of this tiny village."
009E1A5C	Rosa: "Hey, Torneko. You came from a big town far away, right?"
009E1AAC	???: "I'm Rosa, Chief Gamlan's grandson. Nice to meet you!"
009E1AF4	???: "Torneko, wasn't it?"
009E1B20	???: "Wha?! I-I was just about to study... Oh, it's you, traveller."
009E1BA0	???: "Oh dear. Master Rosa has sneaked off instead of studying again. That boy!"
009E1C2C	???: "Looking after those two grandchildren is such a joy. It will be lonely here."
009E1CBC	???: "My own son is always off travelling. He never comes home."
009E1D04	???: "It really is lovely for a family to live together."
009E1F14	There is a bed here. Will you rest in it?
009EA22C	???: "Perhaps the god of the sea is angry with us."
009EA25C	???: "What a disaster! My precious field is ruined!"
009EA2DC	???: "No chance! Our little boats could never take you that far."
009EA328	???: "Eh? Could we build a boat to take you somewhere else?"
009EA360	???: "It's all over... The roof blew off my house. I can't face rebuilding my boat too."
009EA3D8	???: "What happened to all his sweet talk when he whisked me away from my island city?"
009EA430	???: "He's lost all his get-up-and-go."
009EA4A0	???: "And he always carries toys around. He's not a little kid any more! Weird, huh?"
009EA4F8	???: "Rosa's selfish, unlike his older twin sister Ines. You'd better watch out!"
009EA560	???: "Oh, the traveller! Have you met Rosa yet? He lives at the chief's house."
009EA5CC	???: "Meow!"
009EA5F4	???: "The chief ordered us not to let anyone leave the village. It is too dangerous."
009EA64C	???: "This is Barinabo Village, at the far southern edge of the world."
009EA78C	???: "This is the chief's house. Please go inside."
009EA7D0	???: "The chief would like to see you. This way, please."
009EA804	???: "Ah, you are awake. Just in time."
009EA914	???: "For you to arrive with that fierce storm... What a strange turn of fate."
009EA970	???: "It has been decades since any travellers came here."
009EA9B8	???: "This is the only village on Barinabo, a forgotten island in the far south."
009EAB80	???: "Aww..."
009EAB94	???: "Did you get all that? Want to hear it again?"
009EABC4	???: "Swing your sword to let them come to you. Then strike! That's the trick."
009EAC24	???: "If a monster is one step away, don't step towards it yourself."
009EAC74	???: "And remember, you and the monsters take turns to act in a dungeon, so..."
009EACD0	???: "Make sure you equip any weapons and armour you find along the way, too."
009EAD28	???: "If you collapse from hunger, monsters will get you. Eat bread when you're hungry."
009EAD8C	???: "But there are monsters, so you'll need to fight and get stronger to reach the end."
009EADEC	???: "Find the stairs and keep going down. When you reach the end, magic lets you out."
009EAE4C	???: "Well... There are stairs somewhere in the cave, leading down and down."
009EAEA4	???: "Want to hear what the grown-ups told me about it?"
009EAEDC	???: "The grown-ups say a strange cave can suddenly swallow you up when you walk outside."
009EAF3C	???: "The chief is pretty old. Will he be all right?"
009EAF74	???: "The chief and the others went rushing out of the village!"
009EB008	???: "You must not go to the northern shrine. It is too dangerous!"
009EB058	???: "Something awful must have happened to make the chief rush off like that. Oh dear..."
009EB110	???: "Don't worry about your wife while you're away. We'll look after her."
009EB174	???: "You're going to the forbidden caves to save your child? Brave, for an outsider!"
009EB1FC	???: "And now all this happens as soon as you arrive! What a surprise! Oh, pardon me."
009EB254	???: "This is Barinabo, a forgotten island in the far south."
009EB308	???: "Oh! Master Rosa! I-I'm not slacking off, you know."
009EB364	???: "Lying here, I can listen to the waves and sense how the currents are moving..."
009EB3B4	???: "Oh! Miss Ines! I-I'm not slacking off, you know."
009EB414	???: "Ahh, what a beautiful sky... This is what life's all about. Yes, indeed."
009EB48C	???: "Oh, how I miss life in the city..."
009EB4BC	???: "Off to the great island far to the north, Torneko? Quite the adventurer! How lovely."
009EB540	???: "A sailor's life for me... Heave ho, heave ho!"
009EB568	???: "Our boats are gone. Time to show the youngsters how I fish with a shore net!"
009EB668	???: "Some things may be cursed, though. Be careful."
009EB6A8	???: "Make sure you equip the weapons and armour you find in caves, but..."
009EB708	???: "Do your best to get out of the dungeon together!"
009EB748	???: "If Ines or Rosa collapses along the way, you'll be sent back outside the cave..."
009EB7A4	???: "And one cave isn't enough. There are lots to get through to reach the north island."
009EB810	???: "Well... The caves have stairs and teleportals that lead you further in."
009EB874	???: "Going to the northern shrine? I hear there are scary caves underneath it."
009EB994	???: "Oh, Master Rosa! Are you leaving with the traveller? Do take care."
009EB9E4	???: "Oh, Miss Ines! Are you leaving with the traveller? Do take care."
009EBA34	???: "This is Barinabo Village. The forbidden Shrine of the Gods lies to the north."
009EBAE4	???: "Don't worry! We'll look after them while you're away."
009EBB24	???: "Oh, Torneko. Did you come back because you were worried about your family?"
009EBB84	???: "One day, our memories too will be buried in this earth."
009EBC1C	???: "My husband's the same as ever. Oh, how I miss life in the city..."
009EBC68	???: "Hello, Torneko. How is your journey north going?"
009EBD24	???: "Did you get all that? Want to hear it again?"
009EBD58	???: "Even if it looks hopeless, don't give up. Stay calm and think. You may find a way!"
009EBDC4	???: "Always act before the monsters. Moving diagonally is important too."
009EBE2C	???: "Get plenty of experience in the earlier dungeons, and improve your equipment..."
009EBE80	???: "Well... If you just can't get through a dungeon, try preparing more carefully."
009EBEEC	???: "Want to hear what the grown-ups told me about dungeons?"
009EBF28	???: "Oh, it's the cave man! How's it going?"
009EBF9C	???: "Hello there. The sea is calm again today."
00B6E5A8	Chief: "Then it is settled! Return to the village for today. Rest before you set off."
00B6E608	Chief: "Then let me ask again. Will you take my granddaughter Ines with you?"
00B6E668	Chief: "Oh, you were joking! You gave me quite a surprise."
00B6E6A8	Chief: "Still, return to the village today. Get some rest and set off tomorrow."
00B6E708	Chief: "Well, if that is what you truly wish, Torneko, I shall let Rosa go with you."
00B6E76C	Chief: "Hmm... I see. To be honest, I would welcome the chance for Rosa to train."
00B6E7D4	Chief: "B-but unlike Ines, Rosa is terribly irresponsible! Would you still take him?"
00B6E844	Chief: "Surely... Surely you do not mean to take Rosa, Ines's younger twin brother?"
00B6E8A0	Chief: "Hmm? What is that? You do not wish to take Ines?"
00B6E8DC	Chief: "Ines knows a little magic, too. Please do take her with you."
00B6E944	Chief: "Sadly, Rosa has neglected his studies. With him, you would never reach the north."
00B6E9B0	Chief: "They may hold back a seasoned traveller like you, but Ines should be of some use."
00B6EA18	Chief: "Even if the shrine is sealed again, my grandchild should help you return here."
00B6EA80	Chief: "The blood of Barinabo runs strong in my grandchildren."
00B6EAC0	Chief: "And I have a request. Please let one of our people accompany you."
00B6EB18	Chief: "The Earth God once guided the good of heart. I believe he will watch over you too."
00B6EB7C	Chief: "Even if I tried to stop you, I expect you would set out for Tipper's sake."
00B6EBD4	Chief: "Torneko. The road far to the north will be long and difficult."
00B6EC20	Chief: "Yes, indeed. We must understand why we are here in this land."
00B6EC78	Ines: "Grandfather, our duty as Barinabo's people is to see what lies beyond the seal..."
00B6ECE4	Chief: "I do not know if the fortune-teller is still alive, but it is worth a visit."
00B6ED34	Chief: "If I remember rightly, they said this fortune-teller could cure any illness."
00B6ED98	Chief: "Someone there may be able to save Tipper..."
00B6EDE8	Chief: "Beyond it, the path should lead to lands far to the north."
00B6EE24	Chief: "Torneko. The Shrine of the Gods is unsealed. We can now follow the divine path."
00B6EE8C	Chief: "Has that vast evil, which frightened even the gods, truly perished...?"
00B6EEF0	Chief: "And yet I sense no evil coming from deep within the Shrine of the Gods."
00B6EF40	Chief: "Now the statue has fallen, as you can see. The seal itself has been broken!"
00B6EFA0	Chief: "We people of Barinabo once served the Earth God. We have long watched this shrine..."
00B6F004	Chief: "When the evil will was destroyed, the people he had guided returned to their homes."
00B6F068	Chief: "He then sealed the path with a sacred statue, to keep the wicked from this island."
00B6F0CC	Chief: "He led the good of heart here from the north, along a divine path beneath the sea."
00B6F134	Chief: "Long ago, when an evil will still plagued the world, the Earth God made this island..."
00B6F198	Chief: "First, Torneko, I must tell you a little about the land of Barinabo."
00B6F1F0	Chief: "Hmm... No, it seems different from the evil of old."
00B6F234	Ines: "Grandfather. Could that terrible storm have been...?"
00B6F268	Chief: "Forgive me for keeping you waiting. I had to see what happened at once."
00B6F2D0	Chief: "You see, we people of Barinabo have a duty to protect this Shrine of the Gods..."
00B6F320	Chief: "Ah, Torneko! Were you too worried about Tipper to wait any longer?"
00B6F374	???: "Were you not supposed to wait in Barinabo Village?"
00B6F3A8	???: "Oh! Isn't that Torneko?"
00B6F5F8	???: "Legend says that beyond them lies the world where we people of Barinabo once lived..."
00B6F664	???: "I'm too scared to go, but I wonder what lies beyond the caves under this shrine."
00B6F750	???: "Do take care. Whatever you do, do not push yourself too hard."
00B6F78C	???: "Legend also says that those who go beneath this shrine can never return."
00B6F86C	???: "There is a frightening tale that our world no longer exists beyond them, though."
00B6F8EC	???: "It must be my imagination."
00B6F914	???: "Since the statue fell, I feel a mysterious power here, rather than anything evil..."
00B6FC08	???: "I never knew it led all the way to the northern lands."
00B6FC54	???: "We've never been beyond here ourselves."
00B6FD00	???: "Come back if it gets dangerous. Take care!"
00B7A904	Ines: "For now, let us hurry underground. The stairs should be on the left of the passage."
00B7A974	Ines: "I believe this is the Gate of Truth. It seems we cannot enter yet."
00B7A9E0	However, $t could not make out the ancient writing...
