id	family	rows	japanese	english	display	full_width_px	display_width_px	status	reference_game	source_urls	notes
interface.dungeon.025	dungeon	25,57	仙人のほら穴	Hermit's cave	Hermit's cave	66	66	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.026	dungeon	26,58	モンスター闘技場	Monster arena	Monster arena	69	69	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.027	dungeon	27,59	賢者のほら穴	Sage's cave	Sage's cave	57	57	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.028	dungeon	28,60	いけにえのほら穴	Sacrificial cave	Sacrificial cave	76	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.029	dungeon	29,61	バレイナのほら穴	Baleina cave	Baleina cave	60	60	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Baleina is a provisional romanization of バレイナ; verify consistently when the island and settlements are translated.
interface.dungeon.030	dungeon	30,62	魔物の巣	Monster nest	Monster nest	62	62	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.031	dungeon	31	まぼろしの洞くつ	Illusion cavern	Illusion cavern	70	70	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.050	dungeon	50	異世界の試練	Otherworld trial	Otherworld trial	78	78	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.052	dungeon	52	封印の試練	Trial of sealing	Trial of sealing	76	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.053	dungeon	53	新界の試練	New World trial	New World trial	75	75	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.063	dungeon	63	まぼろしの試練	Trial of illusion	Trial of illusion	76	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.000	trap	0	転び石	Trip stone	Trip stone	50	50	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.001	trap	1	サビワナ	Rust trap	Rust trap	47	47	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.002	trap	2	装備はずしのワナ	Unequipping trap	Unequipping trap	78	78	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.003	trap	3	泥のワナ	Mud trap	Mud trap	43	43	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.004	trap	4	召喚のワナ	Summoning trap	Summoning trap	74	74	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.005	trap	5	落とし穴	Pitfall	Pitfall	31	31	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.006	trap	6	ワープ	Warp	Warp	23	23	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.007	trap	7	鉄球のワナ	Iron ball trap	Iron ball trap	68	68	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.008	trap	8	回転盤	Spinning tile	Spinning tile	58	58	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.009	trap	9	睡眠のワナ	Sleep trap	Sleep trap	50	50	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.010	trap	10	鈍足のワナ	Slowing trap	Slowing trap	60	60	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.011	trap	11	封印のワナ	Sealing trap	Sealing trap	59	59	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.012	trap	12	毒矢のワナ	Poison arrow trap	Poison arrow trap	88	88	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.013	trap	13	地雷	Land mine	Land mine	47	47	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.014	trap	14	大型地雷	Large land mine	Large land mine	76	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.015	trap	15	弱化のワナ	Weakening trap	Weakening trap	72	72	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.016	trap	16	落石のワナ	Rockfall trap	Rockfall trap	64	64	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.017	trap	17	木の矢のワナ	Wooden arrow trap	Wooden arrow trap	91	91	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.018	trap	18	鉄の矢のワナ	Iron arrow trap	Iron arrow trap	79	79	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.019	trap	19	モンスター化のワナ	Monster transformation trap	Monster transformation trap	140	140	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.020	trap	20	くだり階段	Stairs down	Stairs down	57	57	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.021	trap	21	のぼり階段	Stairs up	Stairs up	45	45	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.trap.022	trap	22	旅の扉	Teleportal	Teleportal	49	49	modern_series_term_primary_english_secondary_identity	Dragon Quest Tact, DQ IV event (2021); Dragon Quest series; modern term corroborated by Tact publisher text	https://www.square-enix-games.com/en_US/home/dragon-quest-iv-event-dragon-quest-tact | https://dragon-quest.org/wiki/Teleportal	Modern series term: Dragon Quest Tact publisher page uses teleportal; exact 旅の扉 identity corroborated by secondary DQ Wiki. See interface terminology review.
interface.search.000	search	0	$tは　宝箱を　開けた！	$t opens the treasure chest!	$t opens the treasure chest!	166	166	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.001	search	1	$tは　宝箱を　調べた。	$t searches the treasure chest.	$t searches the treasure chest.	183	183	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.002	search	2	しかし　宝箱は　からっぽだった…。	But the treasure chest is empty...	But the treasure chest is empty...	169	169	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.003	search	3,4	$tは　タルを　のぞきこんだ！	$t peers into the barrel!	$t peers into the barrel!	147	147	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.005	search	5,8,11,14	しかし　なにも　見つからなかった…。	But nothing was found...	But nothing was found...	119	119	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.006	search	6,7	$tは　ツボを　のぞきこんだ！	$t peers into the pot!	$t peers into the pot!	133	133	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.009	search	9,10	$tは　タンスを　調べた！	$t searches the dresser!	$t searches the dresser!	146	146	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.012	search	12,13	$tは　戸だなを　調べた！	$t searches the cupboard!	$t searches the cupboard!	152	152	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.015	search	15,16	$tは　本だなを　調べた。	$t searches the bookshelf.	$t searches the bookshelf.	155	155	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.017	search	17	とくに　変わった本は　ないようだ。	None of the books seem unusual.	None of the books seem unusual.	156	156	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.018	search	18,19	$tは足元を調べた！	$t searches the ground!	$t searches the ground!	141	141	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.020	search	20	しかし　なにも見つからなかった…。	But nothing was found...	But nothing was found...	119	119	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Preserve $t as the native protagonist-name substitution; no fan-patch prose used.
interface.search.021	search	21	$tは足元を調べた！	$t searches the ground!	$t searches the ground!	141	141	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation of the actual ground-search event copy. $t selects built-in protagonist, not the Adventure Log name.
interface.search.022	search	22	しかし　なにも見つからなかった…。	But nothing was found...	But nothing was found...	119	119	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation of the actual ground-search event copy. $t selects built-in protagonist, not the Adventure Log name.
interface.hero.000	hero	0	トルネコ	Torneko	Torneko	37	37	retained_character_name	Torneko: The Last Hope, PlayStation English release	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107	Use already reviewed glossary character identity. Fixed protagonist-name table, ten-byte stride; not Adventure Log name.
interface.hero.001	hero	1	ポポロ	Tipper	Tipper	30	30	modern_official_name_secondary_evidence	Dragon Quest IV DS/mobile	https://dragon-quest.org/wiki/Tipper_Taloon	Use already reviewed glossary character identity. Fixed protagonist-name table, ten-byte stride; not Adventure Log name.
interface.action.000	action	0	足ぶみ	Wait	Wait	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.001	action	1	移動	Move	Move	22	22	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.002	action	2	なし	None	None	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.003	action	3	なし	None	None	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.004	action	4	なし	None	None	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.005	action	5	攻撃	Attack	Attack	32	32	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.006	action	6	特技	Ability	Ability	30	30	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.007	action	7	階段	Stairs	Stairs	30	30	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.008	action	8	ワナ	Trap	Trap	23	23	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.009	action	9	---	---	---	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.010	action	10	入れる	Put in	Put in	29	29	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.011	action	11	出す	Take out	Take out	43	43	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.012	action	12	？？？	???	???	18	18	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.013	action	13	説明	Information	Info	56	20	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full wording retained in english; display fits the eight-byte action payload and 44-pixel budget.
interface.action.014	action	14	書込む	Write	Write	25	25	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.015	action	15	名前	Name	Name	24	24	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.016	action	16	リスト	List	List	19	19	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.017	action	17	投げる	Throw	Throw	29	29	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.018	action	18	撃つ	Shoot	Shoot	26	26	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.019	action	19	見る	Look	Look	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.020	action	20	入れる	Put in	Put in	29	29	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.021	action	21	出す	Take out	Take out	43	43	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.022	action	22	押す	Push	Push	21	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.023	action	23	水かけ	Pour water	Pour	54	21	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full wording retained in english; display fits the eight-byte action payload and 44-pixel budget.
interface.action.024	action	24	水くみ	Fill with water	Fill	73	15	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full wording retained in english; display fits the eight-byte action payload and 44-pixel budget.
interface.action.025	action	25	転がす	Roll	Roll	17	17	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.026	action	26	発射	Fire	Fire	19	19	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.027	action	27	装備	Equip	Equip	24	24	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.028	action	28	はずす	Unequip	Unequip	34	34	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.029	action	29	拾う	Pick up	Pick up	34	34	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.030	action	30	置く	Place	Place	25	25	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.031	action	31	交換	Swap	Swap	24	24	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.032	action	32	振る	Wave	Wave	23	23	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.033	action	33	飲む	Drink	Drink	24	24	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.034	action	34	食べる	Eat	Eat	17	17	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.035	action	35	読む	Read	Read	22	22	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.036	action	36	つかう	Use	Use	16	16	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.037	action	37	つかう	Use	Use	16	16	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.038	action	38	投げる	Throw	Throw	29	29	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.039	action	39	つかう	Use	Use	16	16	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.action.040	action	40	？？？	???	???	18	18	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.override.000	override	0	？？？？	????	????	24	24	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.override.001	override	1	捨てる	Discard	Discard	35	35	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.override.002	override	2	捨てる	Discard	Discard	35	35	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.override.003	override	3	捨てる	Discard	Discard	35	35	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
