row	english
267	Warp pot
268	Plain pot
269	Keepsake pot
270	Herb god pot
271	Pot 271
272	Pot 272
273	Medicinal herb
274	Healing herb
275	Eyedrop herb
276	Yggdrasil leaf
277	Blinding herb
278	Misfortune seed
279	Berserker seed
280	Fright herb
281	Life herb
282	Big belly seed
283	Small belly seed
284	Seed of agility
285	Seed of strength
286	Antidotal herb
287	Poison herb
288	Fuddle herb
289	Snooze herb
290	Weed
291	Zoom herb
292	Flame herb
293	Leaky belly seed
294	Seed of growth
295	Wakeful herb
296	Golden herb
297	Binding seed
298	Dancing herb
299	Ironform seed
300	Nonsense herb
301	Mystic herb
302	Strange leaf
303	Leaf whistle
304	Bread
305	Big bread
306	Rotten bread
307	Giant bread
308	Magic bread
309	Putrid bread
310	Golden bread
311	Onion bread
312	Caramel bread
313	Longthrow statue
314	Glow statue
315	Decoy statue
316	10-damage statue
317	Bread statue
318	Gold statue
319	Kamikazee statue
320	Throw effect statue
321	Fizzle statue
322	Tripping statue
323	Peep statue
324	Shapeshift statue
325	Knockback statue
326	Flame statue
327	Rock-throw statue
328	Explosion statue
329	Zoom statue
330	Dance statue
331	Snooze statue
332	Gravity statue
333	Big Moai statue
334	Swap statue
335	Trap growth statue
336	Spotlight statue
337	Siphon statue
338	Trap breaker statue
339	sekizo339
340	Statue 340
341	Gold
342	Mimic
343	Flame
344	Mini medal
345	Water
346	Iron safe (unused)
347	Key
348	That thing
349	Grave
350	Iron ball
351	Ice breath
352	Something 352
353	Monster tracks
354	Icy breath
355	Something 355
356	Something 356
357	Something 357
358	Something 358
359	Something 359
360	Something 360
361	Something 361
362	Something 362
363	Something 363
364	Something 364
365	Something 365
366	Something 366
367	Something 367
368	Something 368
369	Something 369
