id	chapter	japanese	full_english	glossary_references	notes
completion.00bb4088	lighthouse	＊「ぬわっ！？<LF><TAB>ま　まぶしいだよ！<LF><TAB>その炎は　いったい！？	"???: ""Wha!? B-blimey, that's bright! What's that flame you've got!?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb40d4	lighthouse	＊「わっ　まぶしい！	"???: ""Whoa! That's bright!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb40fc	lighthouse	＊「あわわわ……<LF><TAB>こ　こっちへ　向けないでください！	"???: ""Aaaah! D-don't point that at me!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4414	lighthouse	$cその夜の宴は　質素なものでしたが<LF>$c老人たちの　昔語りは<LF>$c明け方までつづいたのでした……。	That night's feast was a humble one,<LF>but the elders' tales of bygone days<LF>continued until dawn...		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Centered narration retains the native centering control on each displayed line.
completion.00bb4474	lighthouse	$c伝説を信じていたものは　ただ喜び<LF>$c伝説を忘れていたものは　おどろきと共に<LF>$c炎を守る使命に　目覚めたのでした。	Believers rejoiced. Those who had<LF>forgotten the legend awoke in wonder<LF>to their duty to guard the flame.		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Centered narration retains the native centering control on each displayed line.
completion.00bb44e8	lighthouse	$cこうして　海竜の灯台には　ふたたび<LF>$c聖火が　灯りました。	And so the sacred flame burned<LF>once more in Sea Dragon Lighthouse.	place.journey.00873198	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Centered narration retains the native centering control on each displayed line.
completion.00bb4524	lighthouse	灯台守「おお～いっ！　みんな！<LF><TAB>早く来いよっ！　海竜さまの炎が<LF><TAB>灯ったぞ～～！！	"Keeper: ""Hey! Everyone! Come quickly! The Sea Dragon's flame is alight!"""	lore.sea_dragon,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4578	lighthouse	灯台守「……おっと！<LF><TAB>こうしちゃ　いられねえ。	"Keeper: ""...Oh! No time to stand around!"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb45a8	lighthouse	灯台守「あんたの　手がらなんだから<LF><TAB>ちょいと　様子を見に<LF><TAB>行ってみたら　どうだい？	"Keeper: ""It's all thanks to you. Why not go and see how they're doing?"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb45fc	lighthouse	灯台守「海竜さまの聖火が<LF><TAB>灯ったおかげで　海底の家の<LF><TAB>住人も　よろこんでるはずだぜ。	"Keeper: ""The folk in Undersea House must be delighted to have the sacred flame back."""	place.journey.008731a4,lore.sea_dragon,lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4654	lighthouse	灯台守「ところで　この島まで来た<LF><TAB>あんたなら　はるか海底を<LF><TAB>通ってきたんだろうけど……	"Keeper: ""By the way, you must've come across the seabed to reach this island..."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb46ac	lighthouse	灯台守「まあ　いいや。　オレぁ<LF><TAB>こう見えても　心の広い男よ。<LF><TAB>皆には　ナイショにしてやらあ。	"Keeper: ""Oh, well. I'm a generous sort, you know. I'll keep it between us."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb470c	lighthouse	灯台守「……って　<LF><TAB>あんた　ひどいじゃないか<LF><TAB>そりゃ　オレさまの役目だったのによ。	"Keeper: ""...Hang on! That was my job! You could've left it to me!"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4760	lighthouse	灯台守「なんと　聖火が……<LF><TAB>海竜さまの炎が　ふたたび<LF><TAB>燃えはじめたかっ！！	"Keeper: ""What!? The sacred flame... The Sea Dragon's flame is burning again!?"""	lore.sea_dragon,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb47ac	lighthouse	トルネコは　海竜の聖火を<LF>祭壇に　ささげた！	Torneko offered the Sea Dragon's sacred flame at the altar!	torneko,lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb47d8	lighthouse	祭壇に　海竜の聖火を　ささげますか？	Offer the Sea Dragon's sacred flame at the altar?	lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4800	lighthouse	聖なる炎が　祭壇にみちびかれるように<LF>チカラ強く　燃え出した！	The sacred flame blazed up, as though drawn towards the altar!	lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4b98	lighthouse	＊「これでこそ　竜のタテガミだべ！<LF><TAB>お城でも　どこでも　ムネはって<LF><TAB>献上できるべさ。	"???: ""Now that's Dragon's mane! Good enough for the castle or anywhere else!"""	lore.dragons_mane	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4bf0	lighthouse	＊「海竜さまの火が　燃え出したら<LF><TAB>この麦の　よく育つこと！	"???: ""Ever since the Sea Dragon's flame came back, this wheat's grown like a dream!"""	lore.sea_dragon	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4c2c	lighthouse	＊「はぁ～　おったまげたな！	"???: ""Well, I'll be! What a sight!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4cbc	lighthouse	＊「でも　けっこうタルいんだよね～。<LF><TAB>英雄になるのも大変だよ。	"???: ""It's a real drag, though. Being a hero is hard work."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4cfc	lighthouse	＊「灯台守で　英雄になった<LF><TAB>兄のように　私も　畑仕事で<LF><TAB>英雄になるつもりです。	"???: ""My brother became a hero as lighthouse keeper. I'll become one by farming!"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4d9c	lighthouse	灯台守「なにしろ　数十年ぶりに<LF><TAB>聖火を灯した男だからな。<LF><TAB>わっはっは！	"Keeper: ""I'm the man who lit the sacred flame for the first time in decades! Hahaha!"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4de4	lighthouse	灯台守「おお　あんたか！<LF><TAB>おかげで　オレぁ　すっかり英雄よ。	"Keeper: ""Oh, it's you! Thanks to you, I'm quite the hero now."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb4ebc	lighthouse	＊「あら　トルネコさん　こんにちは。<LF><TAB>いつか　私たちが結婚する時は<LF><TAB>お祝いに来てね。ウフフ。	"???: ""Hello, Torneko! When we get married, do come and celebrate with us. Hee hee!"""	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4f1c	lighthouse	＊「どこかで　持ち物を　売るか<LF><TAB>捨てるかして　へらしてから<LF><TAB>また　来てね。	"???: ""Sell or throw away something to make room, then come back."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4f68	lighthouse	＊「……と思ったけど　あなた<LF><TAB>持ち物が　いっぱいみたいね。	"???: ""...Or I would, but it looks like you're carrying too much."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4fa4	lighthouse	＊「さあ　このメダルを<LF><TAB>持って行ってちょうだい。	"???: ""Here, take this medal with you."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb4fd8	lighthouse	＊「そうそう　お礼に　いいもの<LF><TAB>あげるわね。	"???: ""Oh, yes! I've got a little something to thank you."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5008	lighthouse	＊「だまっててくれた　おかげで<LF><TAB>あたしも　英雄の奥さんになれるわ。<LF><TAB>ウフフ。	"???: ""Thanks for keeping quiet. Now I get to be a hero's wife! Hee hee!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5058	lighthouse	＊「わかってるのよ。　聖火を灯したのって<LF><TAB>あなたなんでしょ？　あの人に　そんな<LF><TAB>勇気があるわけないもの。	"???: ""I know you lit the flame. He'd never have the courage to do something like that."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb50c4	lighthouse	＊「ホントのこと言うと　あたし<LF><TAB>その人と　婚約してたの。	"???: ""To tell you the truth, I was engaged to him."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5120	lighthouse	＊「ここは　海竜の灯台。<LF><TAB>われわれ　海竜さまの聖火を<LF><TAB>守る民が　暮らしています。	"???: ""This is Sea Dragon Lighthouse, home to the guardians of the sacred flame."""	place.journey.00873198,lore.sea_dragon,lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb52a4	lighthouse	灯台守「おお～いっ！　みんな！<LF><TAB>海竜さまの聖火が！　ふたたび<LF><TAB>この灯台に炎が　もどったぞ～っ！！	"Keeper: ""Hey! Everyone! The Sea Dragon's sacred flame is back in the lighthouse!"""	lore.sea_dragon,lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb5308	lighthouse	灯台守「な　なんでまた……<LF><TAB>って　そんなことは　どうでもいいや！	"Keeper: ""H-how did it... Oh, who cares about that!?"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb534c	lighthouse	灯台守「おわっ！？<LF><TAB>こ　これは　まちがいなく<LF><TAB>海竜さまの聖火！	"Keeper: ""Whoa! Th-that's the Sea Dragon's sacred flame, all right!"""	lore.sea_dragon,lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb538c	lighthouse	灯台守「あれ？	"Keeper: ""Huh?"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb539c	lighthouse	灯台守「やれやれ。　また　聖火のない祭壇の<LF><TAB>番人になっちまったなあ……。	"Keeper: ""Well, here I am again, guarding an altar with no sacred flame..."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb5668	lighthouse	＊「そら　あんたの　ポケットに<LF><TAB>入れてやろう。　２Ｆで　うちのヤツに<LF><TAB>わたせば　特別なパンをもらえるでよ。	"???: ""I'll pop it in your pocket. Give it to my wife upstairs for some special bread."""	bread	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Second floor retained as upstairs in a two-floor lighthouse service context. Anonymous speaker remains ???.
completion.00bb56d4	lighthouse	＊「これは　貴重品じゃけん　いちどに<LF><TAB>ひとつだけだよ。	"???: ""It's precious stuff, so only one at a time."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb570c	lighthouse	＊「なんだ　オラの　そら耳かえ。	"???: ""Eh? Must've been hearing things."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5730	lighthouse	＊「え？　もしかして　あんた<LF><TAB>黄金のタテガミが　ほしいのけ？	"???: ""Eh? You want some Golden mane, do you?"""	lore.golden_mane	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5770	lighthouse	＊「伝説と言われた　竜のタテガミの中の<LF><TAB>いっぴん！　黄金のタテガミが<LF><TAB>こんなに　実るとは！	"???: ""Golden mane! The finest of the legendary Dragon's mane! Just look at this crop!"""	lore.dragons_mane,lore.golden_mane	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb57f4	lighthouse	＊「いやはや　なかなか<LF><TAB>すばらしいモノですな。	"???: ""My, my! It really is quite a sight."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5824	lighthouse	＊「私は　海竜の聖火の　伝説を聞いて<LF><TAB>旅してきた者です。	"???: ""I travelled here after hearing the legend of the Sea Dragon's sacred flame."""	lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5880	lighthouse	＊「みゃ～ん。	"???: ""Meeow!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb58b0	lighthouse	灯台守「オレさまが　命がけで<LF><TAB>取りもどしたってわけだ。<LF><TAB>わっはっは！	"Keeper: ""I risked my life to get it back, you see. Hahaha!"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb58f8	lighthouse	灯台守「いちじは　ヘルなんとか言う　悪魔の<LF><TAB>呪いのせいで　聖火が<LF><TAB>消えてしまったんだけどな。	"Keeper: ""A demon called Hell-something cursed the flame, and it went out for a while."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Keep the speaker's partial recollection; do not replace it with the full Hell Justice name.
completion.00bb5958	lighthouse	灯台守「オレぁ　海竜さまの聖火の　番人。<LF><TAB>いわば　この灯台の　英雄よ。	"Keeper: ""I'm guardian of the Sea Dragon's sacred flame. This lighthouse's hero!"""	lore.sea_dragon,lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb59b8	lighthouse	＊「この人って　ちょっと<LF><TAB>話が　大げさなとこが　あるけど<LF><TAB>それが　また　かわいいのよね。	"???: ""He does exaggerate a little, but that's what makes him so sweet."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb5a14	lighthouse	＊「わたしたち　結婚したのよ。	"???: ""We're married now!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbdf6c	lighthouse	この先はダンジョン<LF>灯台の地下室　へ進みます。<LF>よろしいでしょうか？	Continue into the dungeon<LF>Lighthouse basement?	interface.dungeon.008,character.castle_john	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bbe148	lighthouse	＊「あなたに　神のご加護が<LF><TAB>ありますように……。	"???: ""May divine protection be with you..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe17c	lighthouse	＊「ああ　$tさん。<LF><TAB>よくぞ　もどられました。	"???: ""Ah, $t. Welcome back."""	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe24c	lighthouse	＊「いぜん行った場所に　もどって<LF><TAB>買い物など　されるのも<LF><TAB>いいかもしれませんね。	"???: ""You might like to revisit places you've been to and do some shopping."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe2a0	lighthouse	＊「この先は　けわしいダンジョンに<LF><TAB>なるでしょうから　じゅんびを<LF><TAB>ととのえて　ご出発ください。	"???: ""The dungeons ahead will be tough. Make sure you're ready before setting out."""	character.castle_john	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe300	lighthouse	＊「では　どうぞ　お通りください。	"???: ""Please, go on through."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe324	lighthouse	＊「そうですか。　では　ご用のときに<LF><TAB>また　お声をかけてくださいね。	"???: ""I see. Speak to me again whenever you're ready."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe36c	lighthouse	＊「地下道へ　行かれますか？	"???: ""Would you like to enter the tunnel?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe38c	lighthouse	＊「海竜さまの炎が　もどってきたおかげか<LF><TAB>地下から　あふれていた　邪悪な闇が<LF><TAB>消えたようです。	"???: ""The evil darkness welling up below seems gone. Perhaps the flame drove it away."""	lore.sea_dragon	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe3ec	lighthouse	＊「あっ　トルネコさん！<LF><TAB>やはり　あなたも　この先へ<LF><TAB>行かれるのですね。	"???: ""Ah, Torneko! So you're heading on from here too."""	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe540	lighthouse	＊「なにしろ　この先は　行き止まり。<LF><TAB>来た道を　もどるしか<LF><TAB>なくなるだろうからさ。	"???: ""After all, it's a dead end up ahead. You'll have to go back the way you came."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe594	lighthouse	＊「おや　旅の人とは　めずらしいね。<LF><TAB>一杯　飲んでいってよ。	"???: ""Well, a traveller! We don't see many of those. Stay for a drink."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe60c	lighthouse	＊「しかし　いまや　その使命は<LF><TAB>どこへやら……。	"???: ""But these days, that duty is all but forgotten..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe640	lighthouse	＊「かつて　わしら　海竜島の者は　皆<LF><TAB>灯台に燃える　神さまの炎を守って<LF><TAB>暮らしたもんじゃ。	"???: ""We folk of Sea Dragon Isle once lived to guard the holy flame in the lighthouse."""	place.journey.0087310c	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe6bc	lighthouse	＊「でも　灯台の聖なる炎が　消えてからは<LF><TAB>邪悪な波動が満ちて　誰も<LF><TAB>立ち入ることは　できないの。	"???: ""Since the sacred flame went out, evil has filled the place. No one can enter."""	lore.sea_dragon_flame	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe720	lighthouse	＊「この灯台の地下室には<LF><TAB>はるか北の大きな島へと　続く<LF><TAB>地下道があるんですって。	"???: ""They say the lighthouse cellar has a tunnel to a large island far to the north."""	interface.dungeon.008	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe774	lighthouse	＊「お客さん　知らないでしょうから<LF><TAB>教えてあげるわ。	"???: ""You probably haven't heard, so let me tell you."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe7cc	lighthouse	＊「これだけは　若い者たちにも<LF><TAB>伝えてゆかねば　なりません。	"???: ""We must pass that down to the younger generations."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe80c	lighthouse	＊「神の炎が　うばわれることがあっても<LF><TAB>やがてまた　清き人々の心が<LF><TAB>炎を　とりもどすであろうと。	"???: ""Even if the holy flame is stolen, pure hearts will one day bring it back."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe870	lighthouse	＊「私たちは　海竜島の言い伝えを<LF><TAB>信じて　代々　生きてきました。	"???: ""For generations, we have lived by the legends of Sea Dragon Isle."""	place.journey.0087310c	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bbe8c4	lighthouse	＊「足が　つかれたよう。<LF><TAB>神父さま　お話が　長いんだもん……。	"???: ""My legs are tired! The priest talks for so long..."""	role.priest	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
