id	japanese	english	display	glossary_references	notes
history.00c4e2f8	コスタリベラにトルネコの家ができた	Torneko's house was built in Costa Libera	Built Torneko's Costa Libera house	torneko,place.journey.00873188	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e2d8	トルネコが石にされた	Torneko was turned to stone		torneko	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e2b8	プチット族を全員助けた	Rescued every member of the Conklave	Rescued the entire Conklave		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e28c	賢者のほら穴の問題を全問正解した	Solved every puzzle in Sage's cave	Solved all Sage's cave puzzles	interface.dungeon.027	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e260	仙人のほら穴の問題を全問正解した	Solved every puzzle in Hermit's cave	Solved all Hermit's cave puzzles	interface.dungeon.025	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e234	封印の洞くつ<03 08 8C>$d0Ｆまで到達	Sealed cavern{hex:03088c}Reached $d0F		mechanic.sealed,interface.dungeon.020	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e20c	<03 08 40>$d0ターン/$i0でクリア	{hex:030840}Cleared in $d0 turns / $i0	{hex:030840}$d0 turns/$i0		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout. Reader 08086F30..08086F4E formats the recorded hours/minutes/seconds into $i0; it is elapsed time, not a character or item name. Corrected before native acceptance.
history.00c4e1e0	不思議の宝物庫<03 08 8C>$d0Ｆまで到達	Mysterious treasury{hex:03088c}Reached $d0F		interface.dungeon.021	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e1a4	まぼろしの洞くつ<03 08 8C>$d0Ｆまで到達	Illusion cavern{hex:03088c}Reached $d0F		interface.dungeon.031	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e16c	異世界の迷宮<03 08 8C>$d0Ｆまで到達	Otherworld labyrinth{hex:03088c}Reached $d0F		interface.dungeon.018	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e13c	風柱でなすすべなく倒れた	Defeated helplessly by a column of wind	Defeated by a column of wind		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e118	モンスターの巻物を読んだ	Read a Monster scroll		combined_item_197	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e0f4	パルプンテの巻物を読んだ	Read a Hocus Pocus scroll		series_hocus_pocus,combined_item_209	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e0cc	シャドーブレイクを手に入れた	Obtained a Shadow breaker	Got a Shadow breaker	enemy.shadow,combined_item_040	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e0a8	マルチアローを手に入れた	Obtained a Multiarrow	Got a Multiarrow	combined_item_126	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e080	黄金シリーズをすべて手に入れた	Obtained every item in the golden series	Got every golden-series item		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e050	メダル王に$d0枚ちいさなメダルを渡した	Gave $d0 Mini medals to the Medal King	Medal King: $d0 Mini medals given	combined_item_344,role.medal_king	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e028	ゴッドスパークの杖を手に入れた	Obtained a Godspark staff	Got a Godspark staff	combined_item_111	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e008	白紙だった巻物を読んだ	Read a scroll that had been blank		combined_item_224	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dfe0	コインを一度に最高$d0枚獲得した	Most tokens won at once: $d0		service.tokens	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dfc0	宝飾の盾を手に入れた	Obtained a Jewelled shield	Got a Jewelled shield	combined_item_062	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4df98	闘技場の景品をすべて手に入れた	Obtained every arena prize	Won every arena prize		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4df78	モンスター闘技場$d0勝	Arena bets won: $d0		interface.dungeon.026,place.journey.00873010	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4df58	モンスター闘技場$d0敗	Arena bets lost: $d0		interface.dungeon.026,place.journey.00873010	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4df34	ポポロモンスター闘技場$d0勝	Tipper's arena victories: $d0		enemy_tipper,interface.dungeon.026,place.journey.00873010	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4df10	ポポロモンスター闘技場$d0敗	Tipper's arena defeats: $d0		enemy_tipper,interface.dungeon.026,place.journey.00873010	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4deec	ロトの剣・盾を手に入れた	Obtained Erdrick's sword and shield	Got Erdrick's sword and shield	combined_item_024	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dec0	メタルキングの剣・盾を手に入れた	Obtained the Metal king sword and shield	Got the Metal king sword and shield	enemy.metal_king_slime,combined_item_021	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4de9c	$d0体のモンスターを倒した	Defeated $d0 monsters			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4de78	銀行をゴールドで一杯にした	Filled the bank with gold		combined_item_341	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4de54	ひとくいばこを買わされた	Bought a Cannibox in disguise	Bought a disguised Cannibox	enemy.cannibox	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4de3c	泥棒を$d0回した	Stole from shops $d0 times			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4de20	泥棒を$d0回成功した	Escaped after stealing $d0 times	Escaped with stolen goods: $d0 times		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4ddfc	$d0回ダンジョンを突破した	Cleared dungeons $d0 times		character.castle_john	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4ddd0	$d0回ダンジョンに挑戦して失敗した	Failed $d0 dungeon attempts		character.castle_john	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dda4	いままでの到達総フロア数 $d0フロア	Total dungeon floors reached: $d0	Total floors reached: $d0		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dd88	落とし穴で倒れた	Defeated by a Pitfall		interface.trap.005	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dd6c	矢のワナで倒れた	Defeated by an Arrow trap			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dd4c	岩が落ちてきて倒れた	Defeated by a falling boulder			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dd2c	鉄球にあたって倒れた	Defeated by an iron ball			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dd08	眠っているあいだに倒された	Defeated while asleep			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dce4	踊っているあいだに倒された	Defeated while dancing			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dcbc	混乱しているあいだに倒された	Defeated while confused			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dc90	バーサーカー状態のあいだに倒された	Defeated while berserk		enemy.berserker	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dc74	変身中に倒された	Defeated while transformed			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dc48	変身中に仲間モンスターに倒された	Defeated by an ally while transformed			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dc18	とじこめの壺にとじこめられてしまった	Trapped inside a Trapping pot		combined_item_261	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dbf0	モンスターハウスに投げられた	Thrown into a Monster House			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dbc0	潜るモンスターにニフラムの巻物を当てた	Hit a burrowing monster with a Poof scroll	Poof scroll hit a burrowing monster	series_poof,combined_item_230	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4db9c	つるはしを合成してしまった	Used a Pickaxe in synthesis		combined_item_017	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4db80	合成の壺を遠投した	Threw a Synthesis pot with a long throw	Long throw: Synthesis pot	combined_item_252	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4db64	お腹が減って倒れた	Defeated by hunger	Starved to death	fullness	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4db38	風に吹かれてダンジョンから戻された	Blown out of a dungeon by the wind	Blown out of a dungeon by wind	character.castle_john	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4db1c	マダンテを受けた	Hit by Magic Burst		spell.magic_burst	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4daf8	爆風にまきこまれて倒れた	Defeated by an explosion			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4dacc	強くなったバーサーカーに倒された	Defeated by a powered-up Berserker		enemy.berserker	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4da98	世界樹の葉が呪われていて復活できなかった	A cursed Yggdrasil leaf failed to revive you	Cursed Yggdrasil leaf failed to revive	combined_item_276	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4da68	ビッグモアイの石像につぶされて倒れた	Crushed to death by a Big Moai statue	Crushed by a Big Moai statue	combined_item_333	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4da40	火炎の石像に燃やされて倒れた	Burned to death by a Flame statue	Defeated by a Flame statue's fire	combined_item_326	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4da1c	アイテムに変化して倒れた	Defeated by being turned into an item	Defeated by turning into an item		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4da00	最速$d0秒で倒れた	Fastest defeat: $d0 seconds			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d9d8	ヘルジャスティスを倒した	Defeated Hell Justice		enemy_hell_justice	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d9b4	ジャスティス兄を倒した	Defeated Justice's elder brother		enemy_justice_s_elder_brother	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d98c	ジャスティス兄を仲間にした	Recruited Justice's elder brother		enemy_justice_s_elder_brother	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d960	$d0種のモンスターを仲間にした	Recruited $d0 monster species			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d940	ガーゴイルを倒した	Defeated a Gargoyle		enemy_gargoyle	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d91c	ガーゴイルを仲間にした	Recruited a Gargoyle		enemy_gargoyle	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d8f4	仲間モンスターをLv99にした	Raised an allied monster to Lv99	Raised a monster ally to Lv99		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d8cc	強い武器を手に入れた（+99）	Obtained a weapon strengthened to +99	Got a +99 weapon		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d8a4	強い盾を手に入れた（+99）	Obtained a shield strengthened to +99	Got a +99 shield		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d884	最速$d0ターンで倒れた	Fastest defeat: $d0 turns			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d858	すべてのモンスターを仲間にした	Recruited every monster species			Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d834	封印の洞くつ<03 08 8C>未クリア	Sealed cavern{hex:03088c}Not cleared		mechanic.sealed,interface.dungeon.020	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d80c	不思議の宝物庫<03 08 8C>未クリア	Mysterious treasury{hex:03088c}Not cleared		interface.dungeon.021	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d7e4	まぼろしの洞くつ<03 08 8C>未クリア	Illusion cavern{hex:03088c}Not cleared		interface.dungeon.031	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d7c0	異世界の迷宮<03 08 8C>未クリア	Otherworld labyrinth{hex:03088c}Not cleared		interface.dungeon.018	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d7a0	すべての異種合成をした	Performed every mixed-item synthesis	Tried every mixed-item synthesis		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d77c	魔法の宝石箱を倉庫に入れた	Stored a Magic jewel box in the warehouse	Stored a Magic jewel box	combined_item_259	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d74c	トルネコで闘技場$d0回連続予想的中	Torneko won $d0 consecutive arena bets	Torneko's winning bet streak: $d0	torneko	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d728	ニフラムの巻物を読んだ	Read a Poof scroll		series_poof,combined_item_230	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d6f8	いままでの総プレイ時間数 $d0時間$d1分	Total play time: $d0 hours $d1 minutes	Play time: $d0h $d1m		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d6c4	満腹度が0で食べたパンがひとくいばこだった	Ate bread that was a Cannibox at 0 fullness	Ate a Cannibox at 0 fullness	fullness,enemy.cannibox	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d694	１回の攻撃で与えた最大ダメージ量：$d0	Most damage in one attack: $d0	Max damage in one hit: $d0		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d668	回数の多い杖を手に入れた（+99）	Obtained a staff with 99 charges	Got a staff with 99 charges		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d650	バリナボモード	Barinabo mode	Barinabo: 	place.barinabo	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d628	魔物の巣<03 08 8C>$d0Ｆまで到達	Monster nest{hex:03088c}Reached $d0F		interface.dungeon.030	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d5fc	魔物の巣<03 08 8C>未クリア	Monster nest{hex:03088c}Not cleared		interface.dungeon.030	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d5d8	のダンジョンをクリア	 dungeon cleared	 cleared	character.castle_john	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4d5c0	$d0Ｆ到達	Reached floor $d0	 $d0F		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
