offset	english	display	notes	references
0009B488	/It was caused by a Sorcerer's staff.	/Caused by a Sorcerer's staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_sorcerer
000DB308	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB310	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB314	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB31C	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB328	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB334	%s		Coordinated English relation grammar: copy the actor name without Japanese particles; the result tail supplies by/from/possessive wording. All three native readers share this table.	
000DB35C	Tipper: Illusion cavern	Ti:Illusion	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB368	Tipper: Otherworld labyrinth	Ti:Otherworld	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB374	Tipper: Sealed cavern	Ti:Sealed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	mechanic.sealed effect.001b71c6
000DB380	Tipper		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_tipper
000DB388	Torneko: Illusion cavern	T:Illusion	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB394	Torneko: Otherworld labyrinth	T:Otherworld	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB3A0	Torneko: Sealed cavern	T:Sealed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	mechanic.sealed effect.001b71c6
000DB3AC	Torneko		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	torneko
000DB6E8	$+was struck by a Cannibox<CR>$+launched by $m0 personally.	$+Hit by a Cannibox<CR>$+from $m0 personally	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy.cannibox
000DB720	$+fell to gold damage<CR>$+inflicted by $m0 personally.	$+Hit by gold<CR>$+from $m0 personally	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_341
000DB75C	$+was struck by $i2<CR>$+launched by $m0 personally.	$+Hit by $i2<CR>$+from $m0 personally	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB794	$+fell in a self-inflicted explosion.	$+Fell in a self-inflicted blast	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB7BC	$+returned alive from the bottom floor.	$+Survived the bottom floor	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB7E0	$+rescued the Conklave and returned.	$+Rescued the Conklave and returned	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB80C	$+used an Evac scroll and returned.	$+Used an Evac scroll to return	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_evac combined_item_194
000DB838	$+returned safely.	$+Returned safely	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB854	$+could not suspend the adventure successfully.	$+The adventure was not suspended	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	service.adventure
000DB884	$+gave up the adventure and returned.	$+Gave up and returned	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	service.adventure
000DB8AC	$+was blown back by the wind.	$+Blown home by the wind	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB8D4	$+made it through safely.	$+Cleared safely	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB8F4	$+read an Evac scroll and returned.	$+Read an Evac scroll to return	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_evac combined_item_194
000DB920	$+was blown away and fell.	$+Blown away and defeated	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB940	$+was doused by water while in flame form.	$+Flame form doused by water	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_343 combined_item_345
000DB964	$+was hit by a knocked-back<CR>$+$i2.	$+Hit by a knocked-back<CR>$+$i2	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB990	$+was knocked into $m0.	$+Knocked into $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB9BC	$+tried to self-destruct, but it misfired.	$+Self-destruction misfired	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DB9E4	$+collided with $m0 and fell.	$+Collided with $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBA08	$+stepped onto a Sanctuary scroll in monster form.	$+Monster on a Sanctuary scroll	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_204
000DBA3C	$+self-destructed as a Briny mine.	$+Self-destructed as a Briny mine	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_briny_mine
000DBA68	$+was struck by a Cannibox<CR>$+thrown by $m1.	$+Hit by a Cannibox<CR>$+thrown by $m1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy.cannibox
000DBA98	$+was trapped in $i2<CR>$+by $m1.	$+Trapped in $i2<CR>$+by $m1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBAC0	$+was struck by a flying $m0.	$+Hit by a flying $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBAE8	$+became a monster that should not exist.	$+Became a nonexistent monster	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBB18	$+turned into an item.	$+Turned into an item	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBB40	$+was sent back with Rosa.	$+Sent back with Rosa	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_rosa
000DBB64	$+was sent back with Ines.	$+Sent back with Ines	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_ines
000DBB88	$+fell into a Pitfall and perished.	$+Fell into a Pitfall	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	interface.trap.005
000DBBB4	$+fell to falling rocks.	$+Defeated by falling rocks	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBBD0	$+fell in a Large land mine explosion.	$+Defeated by a Large land mine	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	interface.trap.013 interface.trap.014
000DBBF8	$+fell in a Land mine explosion.	$+Defeated by a Land mine	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	interface.trap.013
000DBC1C	$+fell after stepping on a spiked floor.	$+Stepped on a spiked floor	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Spiked floor is a descriptive project rendering of トゲトゲ床, with no claim to a separately verified official term.	
000DBC44	$+fell to $m1's sacred power.	$+$m1: sacred power	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBC6C	$+fell to $m1's mysterious power.	$+Magic from $m1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBC90	$+was burned up by Fireweed.	$+Burned up by Fireweed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBCB4	$+fell because of Antidotal herb.	$+Defeated by Antidotal herb	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_286
000DBCD4	$+fell because of a Leaky belly seed.	$+Defeated by a Leaky belly seed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_293 core.leaky_belly
000DBCF8	$+fell because of a Small belly seed.	$+Defeated by a Small belly seed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Original 異縮小のたね is a source spelling error; the established item 胃縮小のたね and neighboring belly-seed results identify Small belly seed.	combined_item_283
000DBD1C	$+fell because of a Big belly seed.	$+Defeated by a Big belly seed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_282
000DBD40	$+fell after being hit by Eyedrop herb.	$+Defeated by Eyedrop herb	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_275
000DBD68	$+self-destructed due to a Reckless scroll.	$+Self-destructed: Reckless scroll	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_228
000DBD94	$+was caught in $m0's explosion,<CR>$+caused by a Big blast scroll.	$+$m0 exploded<CR>$+because of a Big blast scroll	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_237
000DBDD0	$+fell to a Bang scroll.	$+Defeated by a Bang scroll	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_bang combined_item_192
000DBDF8	$+was burned up by $m1's Fireweed.	$+$m1: Fireweed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBE1C	$+was hit by $m1's Quarter staff.	$+$m1: Quarter staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_107
000DBE44	$+was hit by $m1's Double-edged staff.	$+$m1: Double-edged stf.	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_078
000DBE68	$+was affected by $m1's Poof scroll.	$+$m1: Poof scroll	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_poof combined_item_230
000DBE90	$+was hit by $m1's Great gain staff.	$+$m1: Great gain staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_092
000DBEB4	$+was hit by $m1's Knockback staff.	$+$m1: Knockback staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_084
000DBEDC	$+was hit by $m1's Great loss staff.	$+$m1: Great loss staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_079
000DBF00	$+was hit by $m1's Whack staff.	$+$m1: Whack staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_whack combined_item_077
000DBF24	$+was hit by $m1's Tunnel staff.	$+$m1: Tunnel staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBF4C	$+was caught in a chain explosion from $m1.	$+$m1: chain explosion	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBF70	$+fell in a chain explosion while transformed.	$+Chain blast while transformed	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBF98	$+was caught in $m1's explosives.	$+$m1: explosives	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DBFC0	$+was hit by $m1's Godspark staff.	$+$m1: Godspark staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_111
000DBFEC	$+was hit by $m1's Lightning staff.	$+$m1: Lightning staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_067
000DC014	$+was burned by $m1's fiery breath.	$+$m1: fiery breath	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC038	$+fell to a Boomerang from $m1.	$+$m1: Boomerang	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_119
000DC05C	$+fell to an Iron ball from $m1.	$+$m1: Iron ball	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_350
000DC07C	$+fell to a Critical arrow from $m1.	$+$m1: Critical arrow	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_125
000DC0A0	$+fell to a Knockback arrow from $m1.	$+$m1: Knockback arrow	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_124
000DC0C8	$+fell to a Poison arrow from $m1.	$+$m1: Poison arrow	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_121
000DC0E8	$+fell to a Demon arrow from $m1.	$+$m1: Demon arrow	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_123
000DC10C	$+fell to an Iron arrow from $m1.	$+$m1: Iron arrow	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_117
000DC12C	$+fell to $i2 from $m1.	$+$m1:$i2	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Compact actor:item display uses the dedicated bounded result item-name table.	
000DC14C	$+was hit by gold<CR>$+from $m1 and fell.	$+Hit by gold<CR>$+from $m1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_341
000DC17C	$+was struck by $i2<CR>$+thrown by $m0.	$+Hit by $i2<CR>$+thrown by $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC1A4	$+was caught in a Gunpowder pot's explosion.	$+Caught in a Gunpowder pot's blast	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_254
000DC1D0	$+was caught in a Cannonball's explosion.	$+Caught in a Cannonball's blast	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_132
000DC200	$+was crushed by a Big Moai statue.	$+Crushed by a Big Moai statue	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_333
000DC230	$+was burned by a Flame statue.	$+Burned by a Flame statue	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_326 combined_item_343
000DC258	$+was caught in an Explosion statue's blast.	$+Caught in an Explosion statue's blast	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_328
000DC288	$+was caught in a Time bomb scroll's blast.	$+Caught in a Time bomb scroll's blast	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_243
000DC2B4	$+exploded because of an Explosion ring.	$+Exploded: Explosion ring	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_159
000DC2E4	$+was caught in $m0's explosion.	$+$m0 exploded	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC30C	$+was caught in $m0's explosion,<CR>$+caused by a Kamikazee statue.	$+$m0 exploded<CR>$+because of a Kamikazee statue	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_kamikazee combined_item_319
000DC344	$+was blown away by a Knockback arrow and fell.	$+Knockback arrow: blown away	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_124
000DC374	$+was blown away by a Knockback statue and fell.	$+Knockback statue: blown away	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_325
000DC3AC	$+was knocked back by $m0 and fell.	$+Knocked back by $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC3D4	$+fell from the weapon's recoil.	$+Defeated by weapon recoil	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC408	$+fell to $m0's Harvest Moon.	$+$m0: Harvest Moon	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_harvest_moon
000DC43C	$+was blown away and perished.	$+Blown away by the wind	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC468	$+fell amid the flames.	$+Fell in the flames	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_343
000DC488	$+fell after being showered with sand.	$+Defeated by a shower of sand	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC4A8	$+had the ground swept from underfoot by $m0.	$+Tripped by $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC4D0	$+was hit by $m0's Magic Burst.	$+$m0: Magic Burst	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	spell.magic_burst
000DC4F4	$+fell to $m0's Gust Slash.	$+$m0: Gust Slash	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_gust_slash
000DC518	$+fell to $m0's Kaboom.	$+$m0: Kaboom	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	series_kaboom
000DC540	$+had an attack reflected by $m0.	$+Reflected attack: $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	interface.action.005
000DC568	$+was defeated by $m0.	$+Defeated by $m0	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC584	$+suffocated.	$+Suffocated	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC5A4	$+lost all HP to a strange spell.	$+Lost all HP to a strange spell	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC5D4	$+fell because of Putrid bread.	$+Defeated by Putrid bread	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	bread combined_item_309
000DC600	$+collapsed from hunger.	$+Collapsed from hunger	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC624	$+fell for an unknown reason.	$+Fell for an unknown reason	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC648	Adventure results		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	service.adventure
000DC65C	Adventure $v05	#$v05	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC668	Level $d0{hex:030840}EXP $d1{hex:030894} $d2G	Lv$d0{hex:030840}EXP$d1{hex:030894}$d2G	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC68C	Strength $d0/$d1{hex:03084c}HP $d2/$d3	Str $d0/$d1{hex:03084c}HP $d2/$d3	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC6AC	None		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_000 interface.action.002 interface.action.003 interface.action.004 effect.001b70d0
000DC6B4	Weapon{hex:03082c}$i0		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC6C0	Shield{hex:03082c}$i1		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC6CC	Ring{hex:03082c}$i2		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC6D8	Score $d0		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC6E4	Score $d0{hex:030850}$m0{hex:03089a}Rank $d1	Pts $d0{hex:030850}$m0{hex:03089a}Rank $d1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC700	Score $d0{hex:030850}$m0{hex:0308a6}Unranked	Pts $d0{hex:030850}$m0{hex:0308a6}No rank	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC718	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
000DC728	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
000DC738	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
000DC748	$+$t in $i1 $d0F: 	$+$t/$i1 $d0F	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
000DC760	$+$t in $i1 $d0F: 	$+$t/$i1 $d0F	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
000DC798	something		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC7A0	something		Technical companion copy for unknown result actors, scoped to the three reviewed literal pointers. Supplies the explicit English object needed by the rewritten tails; this does not translate other empty strings.	
000DC7A4	$+Could not revive with a Yggdrasil leaf.	$+Yggdrasil leaf could not revive	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_276
000DC7C4	$+$t was in $m2 form.	$+$t was $m2	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
000DC7D8	$+It was caused by a Golden staff.	$+Caused by a Golden staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_085
000DC7F4	$+It was caused by a Shaman's staff.	$+Caused by a Shaman's staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_shaman
000DC814	$+It was caused by a Sorcerer's staff.	$+Caused by a Sorcerer's staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_sorcerer
00C4CF94	No high scores recorded		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4CFB4	Campaign		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4CFC4	Adventure history		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	service.adventure
00C4CFD0	Tipper: Illusion cavern		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_tipper interface.dungeon.031
00C4CFE8	Tipper: Otherworld labyrinth		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_tipper interface.dungeon.018
00C4CFFC	Tipper: Sealed cavern		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	mechanic.sealed enemy_tipper interface.dungeon.020 effect.001b71c6
00C4D010	Tipper: High scores		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_tipper
00C4D024	Torneko: Illusion cavern		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	torneko interface.dungeon.031
00C4D040	Torneko: Otherworld labyrinth		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	torneko interface.dungeon.018
00C4D058	Torneko: Sealed cavern		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	torneko mechanic.sealed interface.dungeon.020 effect.001b71c6
00C4D070	Torneko: High scores		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	torneko
00C4D08C	High scores		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D098	Adventure $v05	#$v05	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D0A4	Level $d0{hex:030840}EXP $d1{hex:030894} $d2G	Lv$d0{hex:030840}EXP$d1{hex:030894}$d2G	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D0C8	Strength $d0/$d1{hex:03084c}HP $d2/$d3	Str $d0/$d1{hex:03084c}HP $d2/$d3	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D0E8	None		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_000 interface.action.002 interface.action.003 interface.action.004 effect.001b70d0
00C4D0F0	Weapon{hex:03082c}$i0		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D0FC	Shield{hex:03082c}$i1		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D108	Ring{hex:03082c}$i2		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D114	Score $d0{hex:030850}{hex:03089a}Rank $d1	Pts $d0{hex:030850}{hex:03089a}Rank $d1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
00C4D130	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
00C4D140	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
00C4D150	$+$t in $i1: 	$+$t/$i1	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
