id	japanese	english	glossary_references	notes
arena.00c40438	次の対戦相手を見る	View next opponents		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40470	いいえ	No		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40478	*はい	*Yes		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40494	＊「よっ　おめでとさん。<LF>$xあんたの　かけたモンスターが<LF>$xみごとに　生き残ったぜ！<LF>＊「$d0枚のかくとくだぞ。<LF>$xあんた　ツイてるな！<LF>$x……さて　それでだな。<LF>＊「勝った枚数　$d0枚を　そのまま<LF>$x次の勝負に　かけることができるんだが<LF>$xどうする？　勝負するかい？	Congratulations! The monster you backed survived!<LF>You've won $d0 tokens. You're on a roll!<LF>Now, you can stake all $d0 tokens you won on the next match. How about it? Want to keep going?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40598	＊「よっ　おめでとさん。<LF>$xあんたの　仲間モンスターが<LF>$xみごとに　生き残ったぜ！<LF>＊「今回のプレゼントは<LF>$xこの　$i0だっ！<LF>$xさあ　受け取ってくれ。	Congratulations! Your allied monsters survived!<LF>Your prize this time is $i0! Here you go!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4062c	＊「よっ　おめでとさん。<LF>$xあんたの　仲間モンスターが<LF>$xみごとに　生き残ったぜ！<LF>＊「今回のプレゼントは<LF>$xこの　$i0だったんだが<LF>$x持ち物が　いっぱいだったっけな。<LF>＊「いやあ　残念残念。	Congratulations! Your allied monsters survived!<LF>Your prize was going to be $i0, but your bag was full, wasn't it? What a shame!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c406e8	＊「ここでは　モンスターどうしが戦うんだ。<LF>$xあんたは　その中の１体を選んで<LF>$x自分のコインを　かけるってわけさ。<LF>＊「出場一覧や　倍率を参考にして<LF>$xこいつが生き残る！　…と思う<LF>$xモンスターを　選んでくれ。<LF>＊「もし　そのモンスターが　試合で<LF>$x生き残ったなら　その倍率によって<LF>$xかけたコインが　増えるんだぜ！<LF>＊「そうそう　倍率は　毎回違うからな。<LF>$x同じモンスターでも　前は１．２倍だったのに<LF>$x今回は３倍！　…てなこともあるぜ。<LF>＊「あと　コインは１０枚から１００枚までの<LF>$xあいだで　かけてもらうことになっている。<LF><LF>＊「ただし　どんなに大当たりしても<LF>$x１度に払えるのは　９９９９９枚までなんで<LF>$xそこんとこ　よろしく。<LF>＊「説明は　以上！	Here, monsters battle each other. You choose one and bet your tokens on it.<LF>Look at the entrants and the odds, then choose the monster you think will survive!<LF>If that monster survives the match, your tokens will multiply according to its odds!<LF>The odds change with every match. A monster that paid out 1.2 times your bet before might pay out 3 times as much now!<LF>You can bet between 10 and 100 tokens.<LF>However big you win, we can only pay out up to 99,999 tokens at once. Keep that in mind!<LF>That's all there is to it!	service.tokens	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40968	＊「ここでは　あんたの仲間モンスターと<LF>$xうちで　よりすぐったモンスターとで<LF>$x熱い戦いを　くりひろげてもらう。<LF>＊「参加条件は　とくにない。<LF>$xモンスターを仲間にして　連れてくれば<LF>$xそれで　オーケーだ。<LF>＊「ただし　参加するモンスターのレベルの<LF>$x合計が　うちの出すモンスターの数の<LF>$x８倍を　越えている場合は<LF>＊「わりいが参加は　ひかえてもらうぞ。<LF>$x<LF>$x<LF>＊「ちなみに　モンスターの行動順は<LF>$xうちが出した　モンスターからに<LF>$xなっているんで　よろしく。<LF>＊「勝負は　どちらかのモンスターたちが<LF>$x全滅するまで　続けられる。<LF>$x<LF>＊「時間が　３０ターンをすぎてしまったら<LF>$xそこで　勝負は終わりだ。<LF>$xうちの勝ちと　させてもらうぜ。<LF>＊「あんたのモンスターが　勝ち残ったら<LF>$xビッグな賞品を　どーんと　やろう。<LF>$xまあ　説明は　こんなとこだな。	Here, your allied monsters battle a team of our hand-picked monsters!<LF>To take part, just bring along some monster allies.<LF>Their combined levels must be no more than eight times the number of monsters on our team. If they're over that limit, we can't let them enter.<LF>Our monsters always move first.<LF>The battle continues until every monster on one side is defeated.<LF>After 30 turns, time is up and our team wins!<LF>If your monsters win, we'll hand over a big prize. That's about it!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40c44	＊「勝負の殿堂　戦いの園<LF>$xモンスター闘技場へ　よく来たな！<LF>$x熱い勝負　やっていくかい？	Welcome to the Monster Arena, the home of fierce competition! Care for a thrilling match?	interface.dungeon.026,place.journey.00873010	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40ca0	＊「おいおい　コインが足りないぜ？<LF>$xコイン売り場で　バッチリ買ってから<LF>$xまた来てくれよな！	Hey, you haven't got enough tokens! Buy some at the token counter, then come back!	service.tokens	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40d00	＊「さあさあ　どうする？<LF>$xどーんと　かけてくれよな！	So, what'll it be? Go on, place a big bet!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40d38	＊「それじゃあ　また来てくれよな！	All right, come back again!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40d5c	＊「モンスター闘技場の説明を<LF>$x聞きたいんだな？	You'd like to hear the Monster Arena instructions?	interface.dungeon.026,place.journey.00873010	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40d8c	＊「おめでとさん。<LF>$x$d0枚　うけとってくれ！	Congratulations! Here are your $d0 tokens!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40dbc	＊「そうかい　そいつは残念だ。<LF>$xじゃあ　あらためて　次の試合に<LF>$xコインを　かけるかい？	I see. What a shame! Would you like to place a fresh bet on the next match, then?	service.tokens	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40e18	＊「よし　そうこなくっちゃな！<LF>$xじゃあ　かけるモンスターを　選んでくれ。	That's the spirit! Choose the monster you want to bet on.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40e64	＊「連続で勝負したときは<LF>$xキャンセルはできないぜ。	You can't cancel once you've staked your winnings on another match!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40e98	＊「いやあ　残念だったな。<LF>$xどうする？まだ　勝負するかい？	Too bad about that! How about it? Want to try again?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40ed4	＊「勝負の殿堂　戦いの園<LF>$xモンスター闘技場へ　よく来たな！<LF>$xなにをするんだい？	Welcome to the Monster Arena, the home of fierce competition! What would you like to do?	interface.dungeon.026,place.journey.00873010	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40f28	＊「さあさあ　どうする？<LF>$x仲間モンスターを　戦わせようぜ！<LF><LF>＊「戦わせる仲間モンスター達の<LF>$xレベルの合計は $d0までだぜ！	So, what'll it be? Let's see your monster allies fight!<LF>The combined levels of the allies you enter can be no more than $d0!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40fa4	＊「なんだ　仲間モンスターが<LF>$x１体も　いないじゃないか。<LF>$x仲間に　加えておいてくれよ。	You haven't got a single monster ally! Go and recruit some first.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41000	＊「出場させる　仲間のモンスターの<LF>$xレベル合計数が　ちょっと高すぎるぜ！<LF><LF>＊「うちの出すモンスターの体数の<LF>$x８倍までなんで　よろしく。	The combined levels of your chosen monsters are too high!<LF>The limit is eight times the number of monsters on our team.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4108c	＊「それじゃあ　対戦を　はじめるぜ。<LF>$x準備は　いいかい？	Let's get the battle started, then. Are you ready?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c410c8	＊「あんた　持ち物が　いっぱいだぜ？<LF>$xこのままだと　勝っても　賞品が<LF>$xもらえないけど　いいのかい？	Your bag is full! You won't get a prize even if you win. Is that all right?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41130	＊「よし　あんたも　仲間モンスターを<LF>$xしっかり　おうえん　してやれよ！	All right! Make sure you cheer your monster allies on!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41178	合計レベル %d	Total levels: %d		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41188	戦闘に参加するモンスターが<LF>多すぎます！	Too many monsters are taking part in the battle!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c411b8	＊「どうする？　もう　ひと勝負いくかい？	How about another match?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c411e4	あんたの仲間	Your allies		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c411f4	＊「[$m0]の勝ちのようだな。<LF>$xなかなか　いい試合だったぜ！	Looks like [$m0] won. That was quite a match!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41230	$tは$i0をもらった！	$t received $i0!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41244	＊「なんだよ　いらないのか？<LF>$xあとで　やっぱり　ほしいって言っても<LF>$xダメだからな。	What, you don't want it? You can't come back and claim it later, you know!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4129c	登録モンスター	Registered monsters		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c412ac	＊「引き分けだったようだな。<LF>$xでも　なかなか　いい試合だったぜ！	Looks like a draw. Still, that was quite a match!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c412f0	＊「よし　そいつに何枚かけるんだ？	How many tokens will you bet on that one?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41314	枚	T		Independently translated from the pinned Japanese original. Existing reviewed series names are retained. Single numeric-input cell: T denotes tokens, matching existing bank inputs.
arena.00c41318	＊「おっと　わりいな。<LF>$xうちのレートは　最低が１０枚なんだ。<LF>$x１０枚以上で　よろしく。	Sorry, the minimum bet here is 10 tokens. Make it at least 10!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41374	＊「おっと　わりいな。<LF>$xうちのレートは　最高が１００枚なんだ。<LF>$x１００枚以下で　よろしく。	Sorry, the maximum bet here is 100 tokens. Make it 100 or less!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c413d4	%sLv%d	%s Lv%d		Independently translated from the pinned Japanese original. Existing reviewed series names are retained. Previously translated two-line popup headers keep their existing enemy component ownership; only the newly reviewed caller operands are relocated here.
arena.00c413dc	＊「$m0に$d0枚かけるぜ。<LF>$x勝負に勝てば　$d1枚になるな。<LF>$xこのモンスターに　かけていいかい？	That's $d0 tokens on $m0. If it wins, you'll get $d1 tokens. Is this the monster you want to bet on?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4143c	＊「よし　あとは試合を　見るだけだ。<LF>$xさあ　戦いの始まりだぜっ。	Now all that's left is to watch! Let the battle begin!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41484	%2d:%sLv%d <03 09 7C>%d%c%d倍	%2d:%s Lv%d {hex:0309a0}%d%c%dx		Independently translated from the pinned Japanese original. Existing reviewed series names are retained. Checked layout changes the odds column from 124 to 160 pixels; full species names and printf argument order are preserved. Previously translated two-line popup headers keep their existing enemy component ownership; only the newly reviewed caller operands are relocated here.
arena.00c414a4	所持コイン $d0枚	Tokens: $d0	service.tokens	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c414f4	やめる	Cancel		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c414fc	対戦について	About battles		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4150c	パスワード登録	Enter password		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4151c	登録データと対戦	Registered battles		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4156c	全登録抹消	Erase all		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41578	相手確認	View opponents		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41584	対決	Battle		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c415bc	対戦中止	Cancel battle		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c415c8	登録モンスター	Registered monsters		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c415d8	ポポロの仲間	Tipper's allies	enemy_tipper	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c415e8	＊「ここでは　他の冒険の書で育てた<LF>$xモンスターを登録して<LF>$x対戦することができるぜ。<LF>＊「あんた以外に　このゲームを<LF>$x遊んでいるヤツがいて　そいつも<LF>$x仲間モンスターを　連れているのなら……<LF>＊「その仲間モンスターの<LF>$xパスワードを入力してもらえば<LF>$xうちで　バッチリ登録できるぜ！<LF>＊「登録しておいてもらえば<LF>$xその　友達の育てた仲間モンスターと<LF>$xいつでも対戦できるって　スンポーだ。<LF>＊「パスワードは　うちのモンスター預かり所の<LF>$xコマンドで　確認できるからな。<LF>$x<LF>＊「相手を先に　ぜんぶ　やっつければ勝ちだ。<LF>$xでも　賞品なんかは　ないぜ。<LF>$x戦いを　楽しんでくれ。<LF>＊「そうそう　勝負の前に　どちらが<LF>$x先攻か後攻かも　きめられるからな。<LF>$xまあ　説明は　こんなとこだ。	Here, you can register monsters raised in another Adventure Log and battle them!<LF>If a friend plays this game and has monster allies, ask them to enter an ally's password here. We'll register it for you!<LF>Once it's registered, you can battle your friend's monster whenever you like!<LF>You can check a monster's password with the command at our Monster lodge.<LF>Defeat all the opposing monsters first to win. There aren't any prizes, so just enjoy the battle!<LF>Before you fight, you can choose which side moves first. That's about it!	adventure_log	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41884	＊「さあさあ　どうする？<LF>$x仲間モンスターを　戦わせようぜ！	So, what'll it be? Let's see your monster allies fight!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c418c0	＊「なんだ　仲間モンスターが<LF>$x１体も　いないじゃないか。<LF>$x仲間に　加えておいてくれよ。	You haven't got a single monster ally! Go and recruit some first.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4191c	＊「おや？　まだ　なんにも<LF>$x登録されてないぜ？	Hmm? There aren't any monsters registered yet!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4194c	＊「$d0体 登録されているな	There are $d0 monsters registered.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41968	＊「出場するモンスターが　選ばれていないぜ。<LF>$x登録されているモンスターから　出場させる<LF>$xモンスターを　選んでおいてくれよ。	You haven't chosen any monsters to take part! Pick the entrants from your registered monsters first.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c419e8	＊「登録されているモンスターたちと<LF>$x対戦するぜ。準備は　いいかい？	You'll battle the registered monsters. Are you ready?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41a2c	＊「どっちが先攻で対戦するか<LF>$x決めてくれよ。	Choose which side will move first.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41a5c	＊「よし　あんたも　仲間モンスターを<LF>$xしっかり　おうえん　してやれよ！	All right! Make sure you cheer your monster allies on!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41aa4	戦闘に参加するモンスターが<LF>多すぎます！	Too many monsters are taking part in the battle!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41ad4	＊「登録されているモンスターは<LF>$x今　１体も　いないぜ。	There aren't any monsters registered at the moment!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41b0c	＊「登録したモンスターを　全部<LF>$x消しちまうぜ。いちど消したら　もう<LF>$x元へは　もどらないが　いいんだな？	This will erase every registered monster. Once they're gone, you can't undo it. Are you sure?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41b78	＊「よし　登録されていたモンスターは<LF>$x全部　消しといたぜ。	All right, I've erased every registered monster.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41bb4	＊「おっと　悪いな。<LF>$xもうモンスターで　いっぱいだぜ。<LF>$x減らしてから　登録してくれよなっ。	Sorry, there's no room for any more monsters! Remove some before you register another.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41c14	＊「パスワードを入力して　モンスターを<LF>$x登録するかい？	Would you like to enter a password and register a monster?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41c4c	＊「おいおい　このパスワードは　なんか<LF>$xまちがってるみたいだぜ！<LF><LF>＊「もう一度　よく確認して<LF>$x正しいパスワードを　入力してくれよな。	Hey, something's wrong with this password!<LF>Check it carefully and enter the correct password.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41cd4	＊「モンスターを登録しといたぜ。	I've registered the monster!		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41cf8	持ち物に　１０個の空きがないと<LF>ロサの宝物を　持ちきれなくて<LF>冒険に旅立つことが　できません！<LF>$tの持ち物を　１０個以下にしてから<LF>冒険に　旅立ちましょう！	You need 10 empty spaces in your bag to carry Rosa's treasures, or you can't set off on an adventure!<LF>Reduce $t's belongings to 10 items or fewer before you go!	enemy_rosa	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41d94	このダンジョンには　アイテムを最大10個<LF>までしか持ってはいることができません。<LF>アイテムを減らしてからきてください。	You can only bring up to 10 items into this dungeon. Reduce your items before you return.	character.castle_john	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41e64	以下のようになりますが　よろしいですか？	Enter under these conditions?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41e90	<03 05 06>*入る際に自動的にセーブする	{hex:030506}*Autosave on entry		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41eb0	<03 05 05>*レベル１でスタートする(後で元に戻る)	{hex:030505}*Start at Lv1 (restored afterward)		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41edc	<03 05 02>*入る際に持っているアイテムはなくなる	{hex:030502}*Lose carried items on entry		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41f08	<03 05 02>*入る際に持っているゴールドはなくなる	{hex:030502}*Lose carried gold on entry		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41f34	<03 05 05>*仲間はモンスター預かり所に戻される	{hex:030505}*Allies return to the Monster lodge		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41f5c	<03 05 02>*倒れたらアイテムとゴールドはすべてなくなる	{hex:030502}*Lose all items and gold on defeat		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41f8c	<03 05 02>*クリア時アイテムはすべてなくなる	{hex:030502}*Lose all items on clearing		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41fb4	<03 05 02>*倒れたら入った時のステータスに戻される	{hex:030502}*Defeat restores your entry stats		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41fe0	イネス	Ines	enemy_ines	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41fe8	ロサ	Rosa	enemy_rosa	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c41ff0	<03 05 05>*%sをつれて入れない	{hex:030505}*Cannot bring %s along		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c42008	はい	Yes		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c42010	いいえ	No		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c42018	ハイスコアデータを記録しています……<LF>電源を切らないでください。	Saving high scores...<LF>Do not turn off the power.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c42058	冒険の書$j0を記録しています……<LF>電源を切らないでください。	Saving Adventure Log $j0...<LF>Do not turn off the power.	adventure_log	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c42094	＊「記録に失敗しました。	Saving failed.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
