offset	english
B85FF8	???: "While they're in water, they quickly recover any damage you deal."
B8604C	???: "You can hit monsters in the water, but don't keep fighting them there."
B860A0	???: "Move around and lure them onto solid ground before attacking."
B860EC	???: "Normal attacks won't hit monsters inside walls, in particular."
B86140	???: "Some monsters move freely through water and walls you can't pass through."
B86190	???: "Hmm. Dungeons have all sorts of terrain, you see..."
B861CC	???: "Off you go, then."
B861E8	???: "Until next time. Zzz..."
B8620C	???: "Hmmph! A stubborn one, aren't you? What do you want to hear about?"
B8624C	???: "Mumble, mumble... I'm sleepy. Come back later if you want to talk."
B86294	Never mind
B8629C	Sealing traps
B862A8	Traps
B862B0	Items
B862BC	Monsters
B862C8	Dungeons
B862D4	???: "Hmmph! A stubborn one, aren't you? Very well. What do you want to hear about?"
B8632C	???: "I'm sleepy. Come back later if you want to talk."
B86360	???: "Hmm...? I thought I heard a racket up above. Who might you be?"
B867C8	???: "Early on, learn to fight by making good use of whatever items you find."
B86828	???: "Inatts, the monster elder's assistant, I think. He should be able to help you."
B86898	???: "I recall someone at the Medal King's castle who knew all about monster allies..."
B868F8	???: "Winning over monsters you've fought and making them allies! Most impressive."
B8694C	???: "You seem to have a special gift when it comes to monsters."
B8699C	???: "Until next time. Busy, busy..."
B869C4	???: "Hmm? Who are you? I'm busy. Come back later if you want to talk."
B871A8	Return to the dungeon\nSouth Sea tunnel?
B8727C	Continue into the dungeon\nCoral temple - Hall?
B87330	A map hangs on the wall. However, this place doesn't seem to be marked on it.
B87450	???: "O Lord! May your holy blessing be upon this traveller!"
B8748C	???: "Welcome back, $t!"
B875A8	???: "You slept soundly. Take care on your travels."
B875E8	???: "Make yourself comfortable."
B87608	???: "Come back any time you need a rest."
B87648	???: "Welcome, traveller. Would you like to rest here?"
B876C4	???: "That merchant from out of town took my bed!"
B876FC	???: "Daylight at last! And here I was hoping to take a nap."
B8777C	???: "Snooore! Snooore!"
B8785C	???: "Thank you, traveller. We will never forget your kindness."
B87894	???: "But the Sea Dragon's sacred flame has brought its warm light back to us."
B878EC	???: "We are deep, deep beneath the sea. Even the sun's bright rays cannot reach us."
B87994	???: "That's why I train every day without fail! One, two! One, two!"
B879F4	???: "Adventuring with someone like that must be fun. I'd love to join them someday."
B87A50	???: "You're a traveller. Have you heard of a hero somewhere who can befriend monsters?"
B87ABC	???: "Hello! I'm the slime who lives with the old lady."
B87B2C	???: "They say those claws aren't just powerful. They also have special magical powers."
B87B80	???: "I'm travelling in search of a legendary weapon: the Claw andrea."
B87BE8	???: "Welcome to Undersea House. This temple has just awoken from a long, long night."
B87D00	???: "Thank you, travellers. You are true heroes."
B87D7C	???: "I train day and night without fail, so I can become a hero!"
B87DC4	???: "Hello! I'm the slime who lives with the old lady."
B92D68	Return to the dungeon\nSouth Sea tunnel?
B92E3C	Continue into the dungeon\nCoral temple - Hall?
B92EF0	A map hangs on the wall. However, this place doesn't seem to be marked on it.
B93018	???: "O Lord! May your holy blessing be upon this traveller!"
B93054	???: "Welcome back, $t!"
B930D8	???: "They say a swing of that sword deals devastating damage to unseen enemies."
B93138	???: "I'm travelling in search of a legendary weapon: the Shadow breaker."
B931A0	???: "The old lady across the way runs this shop alone. It's only open during the day."
B93248	???: "Until that shop opens, I'll do business with the goods I have on hand."
B932A0	???: "I've waited for years for this seabed to be filled with holy light."
B93328	???: "Zzz... Zzz..."
B933E8	???: "You slept soundly. Take care on your travels."
B93428	???: "Make yourself comfortable."
B93448	???: "Come back any time you need a rest."
B93488	???: "Welcome, traveller. Would you like to rest here?"
B934E4	???: "Then surely even this seabed would be filled with holy light."
B93524	???: "But if the divine flame were lit in the Sea Dragon Lighthouse..."
B93560	???: "We are deep, deep beneath the sea. Even the sun's bright rays cannot reach us."
B936D0	???: "The old lady in that house only opens the shop by day. Bad luck, lad."
B93728	???: "Well, this is a problem. For some reason, it's turned to night again..."
B937A4	???: "Mmm... Mmm... Zzz..."
B93878	???: "Please take care on your way back."
B938A8	???: "You had a restless sleep. No wonder... Even here, I can feel an evil presence."
B93954	???: "What terrible things could be happening on the surface...?"
B939A4	???: "But to think the Sea Dragon's sacred flame has gone out again..."
B939EC	???: "Deep as we are beneath the sea, the holy lighthouse above once lit this place."
B93AA0	???: "Right! Then I'll be the hero! Time to train! One, two! One, two!"
B93B00	???: "Eh? You can befriend monsters? Hmm... You don't look like a hero to me."
B93B50	???: "You're a traveller. Have you heard of a hero somewhere who can befriend monsters?"
B93BBC	???: "Hello! I'm the slime who lives with the old lady."
B93C94	???: "Can you use Zoom? You'd best leave this dangerous place at once."
B93CF0	???: "The flame at Sea Dragon Lighthouse is out. Perhaps that's why evil blocks the way."
B93D54	???: "Take my advice. You'd be better off going back the way you came."
B9EACC	Return to the dungeon\nCoral temple - Hall?
B9EBA8	Continue into the dungeon\nCoral temple - Corridors?
B9ED2C	Return to the dungeon\nCoral temple - Corridors?
B9EE28	Continue into the dungeon\nSeabed mountain - Foothills?
B9EED8	???: "O Lord! May your holy blessing be upon this traveller!"
B9EF14	???: "Welcome back, $t!"
B9EFD0	???: "N-no good! Even with all my strength, it won't budge!"
B9F004	???: "Hnnnngh!"
B9F17C	???: "Wahahahaha!"
B9F194	???: "At last! Even this door has yielded to my strength!"
B9F1D4	???: "Oh!?"
BA871C	Return to the dungeon\nSeabed mountain - Foothills?
BA87E4	Continue into the dungeon\nSeabed mountain - Summit?
BA8934	???: "May divine protection be with you..."
BA8968	???: "Ah, $t. Welcome back."
BA89D0	???: "I am a travelling nun. Wherever I go, I help those in need."
BA8AB0	Rosa: "...Nah, no way. Mum and Dad both died in a terrible storm over ten years ago."
BA8B14	Rosa: "Huh? Viola? That's my mum's name."
BA8B5C	Ines: "It couldn't be. My parents died in a terrible storm just after Rosa and I were born."
BA8BC0	Ines: "...What? Viola? That's the same name as my mother."
BA8C08	???: "...Lady Viola..."
BA8C24	???: "Mmm... Mmm... No... I can't remember..."
BA8CB8	???: "How did he get all the way here in that state? Anyway..."
BA8D0C	???: "That poor man seems to have lost his memory."
BA8DBC	???: "Apparently there's someone he simply must find. Anyway..."
BA8E14	???: "A sick man was bedridden here before, but he made a full recovery and left."
C3F010	Destination
C3F018	Zoom to\n$m0?
