id	japanese	full_english	glossary_references	notes
village.009c294c	族長「……ところで　くどいようですが<LF><TAB>トルネコどの。　本当に　孫息子の<LF><TAB>ロサの方を　つれて行きなさるか？	"Chief: ""Forgive me for asking again, Torneko. Will you truly take my grandson Rosa?"""	torneko,role.village_chief,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c29b8	族長「では　昨日のお約束通り<LF><TAB>わしの孫を　おあずけしましょう。	"Chief: ""As I promised yesterday, I shall entrust my grandchild to you."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c29f8	族長「くれぐれも　気をつけて進みなされ。<LF><TAB>そして　道中　休けいできる場所を<LF><TAB>みつけたら　無理せず　休むことじゃ。	"Chief: ""Travel carefully. When you find somewhere to rest, take the chance to do so."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2a6c	族長「しかも　はるか　北の島へと<LF><TAB>たどりつくには　いくつもの　洞くつを<LF><TAB>抜けなければ　ならぬであろう。	"Chief: ""You will have to pass through many caves to reach the island far to the north."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2ad4	族長「かなりの修行者であっても<LF><TAB>道に迷う上に　今は　おそらく<LF><TAB>魔物が　入りこんでおるはずじゃ。	"Chief: ""Even seasoned explorers lose their way. And now, monsters have likely entered."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2b34	族長「はるか　北へと続く　地下の道は<LF><TAB>ふしぎなチカラによって　入るたびに<LF><TAB>形が変わってしまう　ふしぎな洞くつ。	"Chief: ""The underground route north is a strange cave. Its magic reshapes it each visit."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2ba4	族長「さて　これから　北のほこらへと<LF><TAB>出発されるのでしょうが　これだけは<LF><TAB>申しあげておきたい。	"Chief: ""Before you set off for the northern shrine, there is something you should know."""	role.village_chief,place.shrine_of_the_gods	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2c04	族長「なかなか　わしの家へ<LF><TAB>おいでにならぬので　こちらから<LF><TAB>おじゃまいたしましたぞ。	"Chief: ""You had not come to my house, so I thought I would visit you here."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2c5c	族長「おお　トルネコどの。　さすがに<LF><TAB>昨日は　おつかれだったようですな。	"Chief: ""Ah, Torneko. Yesterday must have been quite tiring for you."""	torneko,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2ca8	ネネ「あら　あなた　目が覚めたのね。<LF><TAB>ちょうど　いま　族長さまと　お孫さんが<LF><TAB>いらっしゃったところよ。	"Tessie: ""Oh, you are awake! The chief and his grandchildren have just arrived."""	character.tessie,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2d60	ネネ「……あ　あら　私ったら<LF><TAB>何を　言ってるのかしら？<LF><TAB>気にしないでね　あなた。	"Tessie: ""Oh, goodness! What am I saying? Pay no attention to me, dear."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2db4	ネネ「イネスさんって　とても美人で<LF><TAB>みりょく的な　おじょうさんね。	"Tessie: ""Ines is such a beautiful, charming young lady, isn't she?"""	character.tessie,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2f40	族長「そうですな。　それがよろしかろう。	"Chief: ""Yes. That would be best."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2f6c	族長「トルネコどの。　いかがですかな？<LF><TAB>やはり　ロサではなく　孫娘のイネスを<LF><TAB>つれて行かれますか？	"Chief: ""Well, Torneko? Will you take my granddaughter Ines instead of Rosa after all?"""	torneko,role.village_chief,enemy_rosa,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Original Yes/No meaning and defaults retained.
village.009c2fd0	族長「トルネコどのの　お供で<LF><TAB>修行させていただくのは　たいへん<LF><TAB>ありがたいことでは　ありますが……。	"Chief: ""I would be grateful for him to learn by travelling with you, of course..."""	torneko,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3038	族長「わしの孫ながら　ロサは<LF><TAB>とんでもない　なまけ者でのう。	"Chief: ""Grandson or not, I must admit that Rosa is terribly lazy."""	role.village_chief,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c30a0	イネス「トルネコさんも　ロサの荷物には<LF><TAB>さわらないよう　注意されたほうが<LF><TAB>安全ですわ。	"Ines: ""For your own safety, Torneko, you should be careful not to touch Rosa's things."""	torneko,enemy_rosa,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c30f8	イネス「この前も　ばあやが　部屋を<LF><TAB>そうじして　ロサの荷物にさわったら<LF><TAB>いきなり　怒りだすんですもの。	"Ines: ""The other day, Nanny touched his things while cleaning. He flew into a rage!"""	enemy_rosa,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3160	イネス「ロサは　大人ぶってるけど<LF><TAB>とても　甘えんぼうで<LF><TAB>子どもっぽいところがあるんです。	"Ines: ""Rosa acts so grown-up, but he is rather spoiled and childish underneath."""	enemy_rosa,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c31e4	ロサ「その分　トルネコさんには<LF><TAB>自分の荷物を　へらしてもらうぜ。<LF><TAB>よろしくな。	"Rosa: ""So you'll have to carry less of your own stuff, Torneko. I'm counting on you!"""	torneko,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3234	ロサ「ところで　オイラ　旅には<LF><TAB>必ず　大事なモノを　持っていく<LF><TAB>ことにしてるからさ。	"Rosa: ""By the way, I always bring my treasures along when I travel."""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c328c	ロサ「あんた　大事な旅に<LF><TAB>オイラを　つれて行こうとするなんて<LF><TAB>なかなか　見る目があるじゃん。	"Rosa: ""Taking me on a trip this important? You've got a good eye for talent!"""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3464	族長「では　どうか　お気をつけて。<LF><TAB>そなたに　バリナボの神の　ご加護を。	"Chief: ""Take care, then. May the god of Barinabo watch over you."""	role.village_chief,place.barinabo	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c34b0	族長「町の中であれば　ＳＴＡＲＴボタン<LF><TAB>とやらで　地図を見ることが<LF><TAB>できるそうですぞ。	"Chief: ""I hear you can view the map while in town by pressing the START Button."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3508	族長「世界のすべてが　記されて<LF><TAB>いるわけでは　ありませんが<LF><TAB>旅に　役立つことでしょう。	"Chief: ""It does not show the whole world, but it should help you on your journey."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3560	トルネコは　地図を手に入れた！	Torneko obtained a map!	torneko	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3580	族長は　なにやら　古びた地図を<LF>取り出した。	The chief took out an old map.	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c35ac	族長「そうそう　念のために<LF><TAB>わが家に伝わる　この地図を<LF><TAB>お渡ししておきましょう。	"Chief: ""Ah, yes! Take this map as well. It has been passed down through my family."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3600	族長「では　トルネコどの。<LF><TAB>くれぐれも　お気をつけて。	"Chief: ""Well then, Torneko. Do take care."""	torneko,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3638	イネスが　仲間に　くわわった！	Ines joined the party!	enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3658	イネス「では　トルネコさん<LF><TAB>よろしくお願いします！	"Ines: ""I look forward to travelling with you, Torneko!"""	torneko,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c368c	イネス「はい　おじいさま！	"Ines: ""Yes, Grandfather!"""	enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c36a8	族長「さあ　イネスや。<LF><TAB>しっかり　トルネコどのの<LF><TAB>お手伝いを　するのじゃよ。	"Chief: ""Now, Ines. Be sure to give Torneko all the help you can."""	torneko,role.village_chief,enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c38d8	ネネ「今度の旅は　今までで　いちばん<LF><TAB>長くなるような気がするから……。	"Tessie: ""I have a feeling this will be your longest journey yet..."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3920	ネネ「旅のとちゅうで　教会や　神父さまを<LF><TAB>見かけたら　忘れずにお祈りするのよ。	"Tessie: ""If you see a church or a priest along the way, remember to stop and pray."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3970	ネネ「あなたのことだから　心配は<LF><TAB>してないけど……。<LF><TAB>どうか　無理はしないでね。	"Tessie: ""I know you can take care of yourself... Just do not push yourself too hard."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c39c4	ネネ「じゃあ　いってらっしゃい　あなた。<LF><TAB>ポポロと　ふたりで　待ってるわ。	"Tessie: ""Off you go, dear. Tipper and I will be waiting for you."""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3a10	ネネ「きっと　パンより　もっと<LF><TAB>たいせつな　持ち物を　たくさん<LF><TAB>かかえているのね。	"Tessie: ""You must be carrying lots of things more important than bread."""	character.tessie,bread	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3a64	ネネ「……あら？　あなたったら<LF><TAB>持ち物が　いっぱいみたいね。<LF><TAB>残念だわ。	"Tessie: ""Oh? Your bag seems to be full. What a shame."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3ab0	ネネ「洞くつの　とちゅうで<LF><TAB>お腹がすいたら　食べてね。	"Tessie: ""Eat it if you get hungry in the caves."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3ae8	ネネ「それから　お弁当をもっていってね。<LF><TAB>おとなりの奥さんに　焼きガマをかりて<LF><TAB>今朝　焼いたばかりの　パンよ。	"Tessie: ""Take this bread for lunch. I baked it this morning in our neighbour's oven."""	character.tessie,bread	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3b58	ネネ「どうか　無理はしないでね。<LF><TAB>教会や　神父さまを見かけたら<LF><TAB>忘れずに　お祈りするのよ。	"Tessie: ""Please do not overdo it. If you see a church or a priest, remember to pray."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3bb4	ネネ「いよいよ　行くのね。<LF><TAB>あなたのことだから<LF><TAB>心配はしてないけど……。	"Tessie: ""So you are leaving at last. I know you can take care of yourself, but..."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3c88	ロサ「へへへ　じょうだんだよ！<LF><TAB>さあ　急いで　北のほこらに<LF><TAB>向かった方が　いいんじゃないの。	"Rosa: ""Heh heh, just kidding! Come on, shouldn't we hurry to the northern shrine?"""	enemy_rosa,place.shrine_of_the_gods	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3ce8	ロサ「へえ～　本当に眠ったままなんだな。<LF><TAB>なんなら　オイラが　代わってやっても<LF><TAB>いいんだけど……。	"Rosa: ""Wow, he really is still asleep. I wouldn't mind trading places with him..."""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3d4c	イネス「本当に　眠ったまま起きないのね…<LF><TAB>心配だわ。　トルネコさん　いそいで<LF><TAB>北のほこらに　向かいましょう。	"Ines: ""He really will not wake up... How worrying. Let us hurry to the northern shrine."""	torneko,enemy_ines,place.shrine_of_the_gods	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3f54	ロサ「じゃあ　行こうぜ！	"Rosa: ""Come on, let's go!"""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3f70	ロサが　仲間に　くわわった！	Rosa joined the party!	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3f90	ロサ「へへっ　よろしくな　トルネコさん！<LF><TAB>楽しくやろうぜ。	"Rosa: ""Heh! Good to be with you, Torneko. Let's have some fun!"""	torneko,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3fcc	ロサ「へ～～い！	"Rosa: ""Yeeees, sir!"""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c3fe0	族長「さあ　ロサや！<LF><TAB>しっかり　トルネコどのの<LF><TAB>お手伝いを　するのだぞ！	"Chief: ""Now, Rosa! Be sure to give Torneko all the help you can!"""	torneko,role.village_chief,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c402c	族長「そうですか……。<LF><TAB>そこまで　言われるのでしたら<LF><TAB>ロサを　お供させましょう。	"Chief: ""I see... If you insist, I shall let Rosa accompany you."""	role.village_chief,enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c4648	ネネ「ポポロと　ふたりで　待ってるわ。<LF><TAB>いってらっしゃい　あなた。　チュッ。	"Tessie: ""Tipper and I will be waiting. Take care, dear. Mwah!"""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c4698	ネネ「さあ　やきたての　おいしいパンよ。<LF><TAB>お弁当に　もっていってね。	"Tessie: ""Here, some lovely fresh bread. Take it with you for lunch."""	character.tessie,bread	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c46e0	ネネ「おはよう　あなた。<LF><TAB>ぐっすり　眠れたみたいね。フフフ。	"Tessie: ""Good morning, dear. You seem to have slept well. Hee hee."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c4720	ネネ「じゃあ　ポポロと　いっしょに<LF><TAB>寝ましょうね。<LF><TAB>お休みなさい　あなた……。	"Tessie: ""Let us get some sleep with Tipper, then. Good night, dear..."""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c4770	ネネ「まあ　元気なのね。<LF><TAB>じゃあ　休みたくなったら　言ってね。	"Tessie: ""My, you have plenty of energy! Let me know when you feel like resting."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c47b0	ネネ「ねえ　あなた。<LF><TAB>今夜は　ゆっくりできるの？<LF><TAB>もう　お休みになる？	"Tessie: ""Can you take it easy tonight, dear? Are you ready for bed?"""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Original Yes/No meaning and defaults retained.
village.009cda68	＊「このさい　この村に　コシを<LF><TAB>おちつけるしか　ないんでねえか。<LF><TAB>漁なら　オレが　教えてやるきに。	"???: ""Might as well settle down here now. I'll teach you how to fish."""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdacc	＊「いや　あんたらも　困ったことに<LF><TAB>なっただなあ。　オレらも<LF><TAB>困ってんだけどよ。	"???: ""You've landed in a fine mess, haven't you? Mind you, so have we."""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdb60	＊「わ～い！　旅の人が<LF><TAB>うちに　遊びに来た～！	"???: ""Hooray! The traveller came to play at our house!"""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdbf8	ロサ「あいかわらず　クチがへらねえなあ<LF><TAB>オジさん。　オイラの真のチカラを<LF><TAB>見たら　そんなこと言えないっての。	"Rosa: ""Still as cheeky as ever, old man! You wouldn't say that if you knew my true power."""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009cdc68	＊「おお　これは　ロサぼっちゃん。<LF><TAB>旅の人を　助けるとは<LF><TAB>どういう風の　ふきまわしかね。	"???: ""Well, Master Rosa! Helping the traveller, are you? What brought this on?"""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdcc4	＊「トルネコさん　なんだか　うれしそうな<LF><TAB>顔をしてるんじゃないの。<LF><TAB>オレは　だまされんぜよ。	"???: ""You look awfully pleased with yourself, Torneko. You're not fooling me!"""	torneko	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdd24	＊「おお　これは　イネスじょうちゃん。<LF><TAB>最近また　キレイになっただなあ。	"???: ""Well, Miss Ines! You're looking lovelier than ever."""	enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cde68	＊「だって　あっちの家の　男の子<LF><TAB>なまいきなんだもん。	"???: ""That boy in the other house is such a show-off!"""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdea0	＊「遊び相手が　いなくて<LF><TAB>つまんないなあ～。	"???: ""Nobody to play with... I'm so bored!"""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source.
village.009cdf38	＊「はい　あなた。<LF><TAB>ごはんが　出来まちたよ。<LF><TAB>めしあがれ。	"???: ""Here you are, dear. Dinner's weady! Eat up!"""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source. Child playing house: light childish pronunciation adapts the Japanese baby talk.
village.009cdfdc	＊「はい　あなた。<LF><TAB>ごはんを　残ちちゃ　ダメよ。<LF><TAB>めしあがれ。	"???: ""Here you are, dear. Don't weave anything on your plate! Eat up!"""		Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership. Anonymous speaker remains ??? until identified by the source. Child playing house: light childish pronunciation adapts the Japanese baby talk.
village.009d5660	族長「小さな島とはいえ　村の外を<LF><TAB>歩いたりしては　危険ですからのう。	"Chief: ""Small as this island is, it is dangerous to wander outside the village."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d56a8	族長「…ああ　いや　ゴホン！<LF><TAB>ともかく　なにか方法が見つかるまで<LF><TAB>この村の中で　休んでいてくだされ。	"Chief: ""Ah, no... Ahem! Stay here and rest until we find some way to help you."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d5710	族長「いったい　あの嵐は　何だったのか。<LF><TAB>わしらの村の歴史でも　こんなことは<LF><TAB>過去に　１度しか……	"Chief: ""What was that storm? In all our village's history, only once before has..."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d5774	族長「船が　流されてしまったのでは<LF><TAB>この島を出ることも<LF><TAB>できぬし……　う～む。	"Chief: ""With your ship swept away, you cannot leave this island... Hmm."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d57c4	族長「いや　このたびは　大変な目に<LF><TAB>あわれましたな……。	"Chief: ""You have been through quite an ordeal..."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d5800	族長「ささ　どうぞ　わしの前に<LF><TAB>お座りくだされ。	"Chief: ""Please, sit down here in front of me."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d5834	族長「おお！　トルネコどの。<LF><TAB>朝はやくから　お呼びだてして<LF><TAB>申しわけない。	"Chief: ""Ah, Torneko! Forgive me for sending for you so early."""	torneko,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009d5930	イネス「もし　私に　なにか<LF><TAB>お手伝いできることが　あったら<LF><TAB>いつでも　お声を　かけてくださいね。	"Ines: ""If there is anything I can do to help, please feel free to ask."""	enemy_ines	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
