id	japanese	full_english	glossary_references	notes
opening.00c2f618	ネネ「さあ　ポポロ。　こっちに来て<LF><TAB>ロウソクの火を　消してちょうだい。	"Tessie: ""Come here, Tipper.<LF>Blow out the candles!"""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f5b8	ネネ「あら　どうしたの　ポポロ？<LF><TAB>なんだか　元気がないわね。<LF><TAB>せっかくの　たんじょう日なのに。	"Tessie: ""What is it, Tipper?<LF>You seem so glum,<LF>and on your birthday, too."""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f560	ネネ「もしかして　ポポロが<LF><TAB>ゆうべ見たっていう　こわい夢のこと<LF><TAB>まだ　気にしてるの？	"Tessie: ""Are you still worried<LF>about that scary dream<LF>you had last night?"""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f524	ポポロ「……うん。　だって<LF><TAB>すごく　変な夢だったんだもん。	"Tipper: ""...Yes.<LF>It was such a strange dream."""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f4e4	ポポロ「ねえ　パパも聞きたい？<LF><TAB>ボクの見た　こわい夢のこと。	"Tipper: ""Do you want to hear<LF>about my scary dream too, Dad?"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. Preserve the original Yes/No command parameters and branch behavior.
opening.00c2f440	ポポロ「えっとね……　その夢の中だと<LF><TAB>ボクが　どこか　広いところにいて<LF><TAB>いきなり　空が暗くなるんだ。	"Tipper: ""Well... I was standing<LF>in this big, open place. Suddenly,<LF>the sky went dark."""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f408	ポポロ「それから　すごく大きな<LF><TAB>カミナリの音がして……	"Tipper: ""Then there was this<LF>really loud clap of thunder..."""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f3ec	ポポロ「……あ　あれ！？	"Tipper: ""...H-huh?!"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f398	ネネ「きゃっ！？<LF><TAB>ね　ねえ　ポポロ。　それって<LF><TAB>もしかして　今みたいな　感じ……？	"Tessie: ""Eek! T-Tipper...<LF>Was it anything like<LF>what just happened...?"""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f37c	ポポロ「わあああ～～っ！	"Tipper: ""Aaaaaaah!"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009fded8	＊「……おお！<LF><TAB>お気が　つかれましたか？	"???: ""...Ah!<LF>You are awake at last!"""		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.009fde8c	＊「私は　この村の族長<LF><TAB>ガムランと申します。<LF><TAB>まったく　ひどい嵐でしたな。	"???: ""I am Gamlan,<LF>chief of this village.<LF>What a terrible storm that was."""	character.gamlan,role.village_chief	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.009fde60	族長「……ああ　まだ<LF><TAB>動かぬほうがいい。	"Chief: ""...Ah, you should<LF>keep still for now."""	role.village_chief	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009fde10	族長「なにしろ　あの嵐の中<LF><TAB>この村の浜に　流れついて<LF><TAB>おられたのですからな。	"Chief: ""You washed up<LF>on our village beach<LF>in the middle of that storm."""	role.village_chief	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009fddc0	族長「今は　まだ　夜明け前。<LF><TAB>そのまま　ゆっくり<LF><TAB>休まれるが　よろしかろう。	"Chief: ""It is still before dawn.<LF>Stay where you are<LF>and get some rest."""	role.village_chief	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00a0025c	＊「へえ～！　あのオジサン<LF><TAB>気がついたみたいだぜ。	"???: ""Hey! Looks like that<LF>old guy is awake!"""		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.00a00364	＊「ちょっと！　のぞくのは<LF><TAB>やめなさいよ！	"???: ""Hey!<LF>Stop peeking in there!"""		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.00a00320	＊「だいたい　あんた<LF><TAB>おじいさまに　たのまれた仕事は<LF><TAB>終わったの？	"???: ""Have you even finished<LF>the work Grandfather<LF>asked you to do?"""		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.00a00208	＊「……ちぇっ　うるせえなあ　アネキは。<LF><TAB>はいはい　やりますよ～<LF><TAB>よろこんでね～。	"???: ""Sheesh, Sis. Always nagging!<LF>All right, all right, I will!<LF>Happy to help!"""		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early. Boy addresses his elder sister; the final cheerful words are sarcastic in context.
opening.0091bdc4	$cこうして　名も知らぬ村の　浜へと<LF>$c流された　トルネコたち。	And so Torneko and his family<LF>washed ashore near a village<LF>whose name they did not know.	torneko	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091bd6c	$cトルネコと　ネネ　ポポロの３人は<LF>$cこんこんと眠りつづけ<LF>$cそして　夜が明けた……。	Torneko, Tessie and Tipper<LF>slept on and on...<LF>Then dawn broke.	torneko,enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1d2c	ネネ「あっ！　あなたも<LF><TAB>目が　覚めたのね！<LF><TAB>よかったわ……。	"Tessie: ""Oh! You are awake too!<LF>Thank goodness..."""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1cc8	ネネ「いったい　なにが　起きたのかしら？<LF><TAB>なんだか　とつぜんすぎて<LF><TAB>よく　思い出せないんだけど……	"Tessie: ""What on earth happened?<LF>It was all so sudden,<LF>I can hardly remember..."""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1c80	ネネ「それより　ポポロが　まだ<LF><TAB>目を　覚まさないのよ。<LF><TAB>心配だわ……。	"Tessie: ""But Tipper still<LF>has not woken up.<LF>I am so worried..."""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1de4	ネネ「不思議ね…。　ポポロも　私たちも<LF><TAB>ぜんぜん　ケガしてないみたいだし。	"Tessie: ""It is strange...<LF>None of us seems hurt at all.<LF>Not even Tipper."""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1da4	ネネ「ポポロが　目を覚ますまで<LF><TAB>私は　ここで　見ているわね。	"Tessie: ""I will stay here<LF>and watch over Tipper<LF>until he wakes up."""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.00c2f4a8	ポポロ「え～！？<LF><TAB>そんなこと　いわずに<LF><TAB>パパも　聞いてよ。	"Tipper: ""Aww!<LF>Please, Dad! Listen to it!"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c1eb0	ポポロは　静かに　眠っているようだ……。	Tipper seems to be sleeping peacefully...	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. One shared observation across nine original event operands; no extra sleep mechanics inferred.
opening.009c1fbc	ネネ「じゃあ　ゆっくり　休んでね。<LF><TAB>おやすみなさい　あなた……。	"Tessie: ""Then get some rest.<LF>Good night, dear..."""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c2000	ネネ「そう？　じゃあ　休みたくなったら<LF><TAB>いつでも　声をかけてね。	"Tessie: ""All right. Just let me know<LF>whenever you feel like resting."""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c2044	ネネ「もし　これが　夢なら<LF><TAB>さめるかもしれないし。　ねえ<LF><TAB>あなたも　また　休んでみる？	"Tessie: ""If this is a dream,<LF>perhaps we could wake up.<LF>Would you like some more rest too?"""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. Preserve the original Yes/No command parameters and branch behavior.
opening.009c209c	ネネ「なんだか　からだも　すごく<LF><TAB>だるいみたいだし……。<LF><TAB>ちょっと　眠ってみようかしら。	"Tessie: ""I feel so tired...<LF>Perhaps I should try<LF>sleeping for a little while."""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c20f8	ネネ「ねえ　あなた。<LF><TAB>もしかして　これ<LF><TAB>夢だってこと　ないわよね？	"Tessie: ""Tell me, dear...<LF>This could not all be<LF>a dream, could it?"""	character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.009c213c	ネネ「あら　あなた　お帰りになったのね。<LF><TAB>ポポロは　まだ　眠ったままよ。<LF><TAB>いったい　どうしたのかしら？	"Tessie: ""Oh, you are back!<LF>Tipper is still asleep.<LF>What could be wrong with him?"""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0086f4c8	はい	Yes	ui.event_yes	Shared event Yes/No label; original record return value and default selection are preserved. Native opening exposed a separate table from earlier confirmation menus.
opening.0086f4c0	いいえ	No	ui.event_no	Shared event Yes/No label; original record return value and default selection are preserved. Native opening exposed a separate table from earlier confirmation menus.
