offset	chapter	english	notes
BB50C4	lighthouse	"???: ""To tell you the truth, I was engaged to him."""	
BB5120	lighthouse	"???: ""This is Sea Dragon Lighthouse, home to the guardians of the sacred flame."""	
BB52A4	lighthouse	"Keeper: ""Hey! Everyone! The Sea Dragon's sacred flame is back in the lighthouse!"""	
BB5308	lighthouse	"Keeper: ""H-how did it... Oh, who cares about that!?"""	
BB534C	lighthouse	"Keeper: ""Whoa! Th-that's the Sea Dragon's sacred flame, all right!"""	
BB538C	lighthouse	"Keeper: ""Huh?"""	
BB539C	lighthouse	"Keeper: ""Well, here I am again, guarding an altar with no sacred flame..."""	
BB5668	lighthouse	"???: ""I'll pop it in your pocket. Give it to my wife upstairs for some special bread."""	Second floor retained as upstairs in a two-floor lighthouse service context.
BB56D4	lighthouse	"???: ""It's precious stuff, so only one at a time."""	
BB570C	lighthouse	"???: ""Eh? Must've been hearing things."""	
BB5730	lighthouse	"???: ""Eh? You want some Golden mane, do you?"""	
BB5770	lighthouse	"???: ""Golden mane! The finest of the legendary Dragon's mane! Just look at this crop!"""	
BB57F4	lighthouse	"???: ""My, my! It really is quite a sight."""	
BB5824	lighthouse	"???: ""I travelled here after hearing the legend of the Sea Dragon's sacred flame."""	
BB5880	lighthouse	"???: ""Meeow!"""	
BB58B0	lighthouse	"Keeper: ""I risked my life to get it back, you see. Hahaha!"""	
BB58F8	lighthouse	"Keeper: ""A demon called Hell-something cursed the flame, and it went out for a while."""	Keep the speaker's partial recollection; do not replace it with the full Hell Justice name.
BB5958	lighthouse	"Keeper: ""I'm guardian of the Sea Dragon's sacred flame. This lighthouse's hero!"""	
BB59B8	lighthouse	"???: ""He does exaggerate a little, but that's what makes him so sweet."""	
BB5A14	lighthouse	"???: ""We're married now!"""	
BBDF6C	lighthouse	Continue into the dungeon\nLighthouse basement?	
BBE148	lighthouse	"???: ""May divine protection be with you..."""	
BBE17C	lighthouse	"???: ""Ah, $t. Welcome back."""	
BBE24C	lighthouse	"???: ""You might like to revisit places you've been to and do some shopping."""	
BBE2A0	lighthouse	"???: ""The dungeons ahead will be tough. Make sure you're ready before setting out."""	
BBE300	lighthouse	"???: ""Please, go on through."""	
BBE324	lighthouse	"???: ""I see. Speak to me again whenever you're ready."""	
BBE36C	lighthouse	"???: ""Would you like to enter the tunnel?"""	
BBE38C	lighthouse	"???: ""The evil darkness welling up below seems gone. Perhaps the flame drove it away."""	
BBE3EC	lighthouse	"???: ""Ah, Torneko! So you're heading on from here too."""	
BBE540	lighthouse	"???: ""After all, it's a dead end up ahead. You'll have to go back the way you came."""	
BBE594	lighthouse	"???: ""Well, a traveller! We don't see many of those. Stay for a drink."""	
BBE60C	lighthouse	"???: ""But these days, that duty is all but forgotten..."""	
BBE640	lighthouse	"???: ""We folk of Sea Dragon Isle once lived to guard the holy flame in the lighthouse."""	
BBE6BC	lighthouse	"???: ""Since the sacred flame went out, evil has filled the place. No one can enter."""	
BBE720	lighthouse	"???: ""They say the lighthouse cellar has a tunnel to a large island far to the north."""	
BBE774	lighthouse	"???: ""You probably haven't heard, so let me tell you."""	
BBE7CC	lighthouse	"???: ""We must pass that down to the younger generations."""	
BBE80C	lighthouse	"???: ""Even if the holy flame is stolen, pure hearts will one day bring it back."""	
BBE870	lighthouse	"???: ""For generations, we have lived by the legends of Sea Dragon Isle."""	
BBE8C4	lighthouse	"???: ""My legs are tired! The priest talks for so long..."""	
BBE93C	lighthouse	"Priest: ""And furthermore... (much omitted)... May you be blessed."""	Adapt the source's parenthetical omission as a narrator's comic ellipsis, not new lore.
BBE980	lighthouse	"Priest: ""O ancestors, who trusted in the path you walked! Forgive us!"""	
BBE9D8	lighthouse	"Priest: ""Until then, and ever after, our duty is to guard this legendary lighthouse."""	
BBEA2C	lighthouse	"Priest: ""Though evil hands may seal the flame, a day will come when it returns."""	
BBEA90	lighthouse	"Priest: ""...Our god grieves!"""	
BBEAB8	lighthouse	"Priest: ""For generations, my family have served as priests on this island."""	
BBEB14	lighthouse	"???: ""The priest's sermon is as passionate as ever today. Now, then..."""	
BBEBB4	lighthouse	"???: ""It's dangerous. Please give up and go back the way you came."""	
BBEBF8	lighthouse	"???: ""The tunnel is ahead, but no one has entered it in all my life."""	
BBEDA8	lighthouse	"???: ""Oh! That is the Sea Dragon's sacred flame! ...Now, then..."""	
BBEDF0	lighthouse	"???: ""My! Your flame is the legendary sacred flame! This is no time for business!"""	
BBEE74	lighthouse	"???: ""Whoa! Wh-what is that light!? ...Ah, forgive me. Ahem."""	
BBEF20	lighthouse	"???: ""Whoa! We'll be celebrating tonight! I'd better get the food ready..."""	
BBEFE4	lighthouse	"???: ""...Eh? You're awfully bright. Don't point that odd thing at me! ...Zzz..."""	
BBF048	lighthouse	"???: ""But these days, that duty is all but forgotten... Hic!"""	
BBF084	lighthouse	"???: ""Hiiic! We folk of Sea Dragon Isle once lived to guard the holy flame."""	
BBF0F0	lighthouse	"???: ""Well, now! You look so mysterious and handsome!"""	
BBF168	lighthouse	"???: ""Incredible! Hurry to the lighthouse keeper!"""	
BBF1A8	lighthouse	"???: ""Could that be the Sea Dragon's sacred flame you're carrying!?"""	
BBF1E0	lighthouse	"???: ""...Oh? M-my goodness! Could that be...?"""	
BBF230	lighthouse	"???: ""Wow, mister! What a pretty light!"""	
BBF298	lighthouse	"Priest: ""A-a-aah... (much omitted)... A-a-aah..."""	Comic abridgement of the source's parenthetical omission.
BBF2CC	lighthouse	"Priest: ""You've brought it back! Er... The legend says you must be... a divine servant?"""	
BBF32C	lighthouse	"Priest: ""Gyaaah! Th-that's our Sea Dragon's sacred flame!"""	
BBF384	lighthouse	"???: ""You must be chosen by the Sea Dragon! If there is anything I can do for you..."""	
BBF42C	lighthouse	"???: ""Whatever happens, I put my heart and soul into every blow."""	
BBF4A0	lighthouse	"???: ""But perhaps you will be the first."""	
BBF4D8	lighthouse	"???: ""The tunnel is ahead. No one has entered it in all my life."""	
BBF6A0	lighthouse	"Priest: ""Please protect Torneko as he sets forth once more!"""	
BBF6E4	lighthouse	"Priest: ""O ancestors, who trusted in the path you walked!"""	
BBF724	lighthouse	"Priest: ""Yes, I can hear it. No, not hear it... I can feel it in my heart."""	
BBF784	lighthouse	"Priest: ""...Our god trembles with tears of gratitude!"""	
BBF7C8	lighthouse	"Priest: ""Eh? You aren't a divine servant? Such modesty..."""	
BBF810	lighthouse	"Priest: ""The flame's return is entirely thanks to you, servant of the divine!"""	
BBF874	lighthouse	"Priest: ""Ah, Torneko! You had a good rest last night."""	
BBF8D8	lighthouse	"Priest: ""Day and night, we must... (much omitted)... May you be blessed."""	Comic abridgement of the source's parenthetical omission.
BBF920	lighthouse	"Priest: ""As a descendant of a family who have served this island as priests for generations..."""	
BBF970	lighthouse	"Priest: ""Ah, Torneko! How goes your journey as a divine servant?"""	
BBF9F8	lighthouse	"???: ""Thank you for all you've done, traveller. Take care on your journey."""	
BBFA4C	lighthouse	"???: ""For generations, we've lived by this island's legends. And we always shall..."""	
BBFAE8	lighthouse	"???: ""Wonderful... Truly wonderful... Glug, glug..."""	
BBFB9C	lighthouse	"???: ""We'll be able to make some fine drink now."""	
BBFBC8	lighthouse	"???: ""Since the sacred flame returned, the Dragon's mane in the fields is thriving."""	
BBFCF4	lighthouse	"???: ""Meooow!"""	
BBFFC0	lighthouse	"???: ""I'm heading off ahead of you. See you!"""	
BBFFFC	lighthouse	"???: ""Heh! Only just showing up, are you?"""	
BC0098	lighthouse	Having heard the priest out, a strange sense of satisfaction brought peace of mind.	
BC00F4	lighthouse	$t nearly nodded off halfway through, but somehow managed to stay awake.	
BC014C	lighthouse	The priest delivered a very, very long and passionate sermon to $t.	
BC01D8	lighthouse	"???: ""Oh, a traveller! Hello! This is the lighthouse town."""	
BC027C	lighthouse	"???: ""Even when the world's at peace, people have all sorts of worries."""	
BC0378	lighthouse	"???: ""Nothing good comes of thinking only about how to take life easy."""	
BC03F8	lighthouse	"???: ""Isn't there some easier job that'd earn me everyone's respect?"""	
BC0448	lighthouse	"???: ""I meant to work hard in the fields, like my lighthouse keeper brother, but..."""	
BC04B4	lighthouse	"???: ""How shameful that it took a traveller, Torneko, to remind us of our duty."""	
BC0514	lighthouse	"???: ""We had forgotten our duty here at the lighthouse, and almost forgotten the legend."""	
9430A4	shared_repeats	Continue into the dungeon\nSea Dragon Isle ruins?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
944864	shared_repeats	Return to the dungeon\nGreat Ruins cavern - North?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
944C44	shared_repeats	Continue into the dungeon\nEvil wind cave?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
945A04	shared_repeats	Rosa joined the party!	Reuses independently authored English from the exact Japanese source first-village/village.009c3f70.
945C9C	shared_repeats	Ines joined the party!	Reuses independently authored English from the exact Japanese source first-village/village.009c3638.
947964	shared_repeats	Continue into the dungeon\nMonster nest?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
96A524	shared_repeats	"???: ""Meow! Meow! Meow!"""	Reuses independently authored English from the exact Japanese source story-completion/completion.00bb3f6c.
975614	shared_repeats	"???: ""Meow!"""	Reuses independently authored English from the exact Japanese source first-village/village.009ea5cc.
9758C0	shared_repeats	"???: ""Meow! Meow! Meow!"""	Reuses independently authored English from the exact Japanese source story-completion/completion.00bb3f6c.
9A7268	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
9EA160	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
9F9924	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
9FED80	shared_repeats	"???: ""Zzz... Zzz..."""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b93328.
9FFB24	shared_repeats	A map hangs on the wall. The small island drawn far to the south seems to be this one.	Reuses independently authored English from the exact Japanese source first-village/village.009e178c.
A00158	shared_repeats	"???: ""Meow!"""	Reuses independently authored English from the exact Japanese source first-village/village.009ea5cc.
A1B980	shared_repeats	"???: ""O Lord! May your holy blessing be upon this traveller!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b87450.
A1B9BC	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
ABFE6C	shared_repeats	There is a bed here. Will you rest in it?	Reuses independently authored English from the exact Japanese source first-village/village.009e1f14.
AD0700	shared_repeats	Return to the dungeon\nPath of trials?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
AD07C0	shared_repeats	Continue into the dungeon\nJungle graveyard?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
AD0B2C	shared_repeats	"???: ""O Lord! May your holy blessing be upon this traveller!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b87450.
AD0B68	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
ADF884	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
AFD158	shared_repeats	Continue into the dungeon\nOtherworld labyrinth?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
AFD1B8	shared_repeats	Continue into the dungeon\nSealed cavern?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
AFE230	shared_repeats	Continue into the dungeon\nIllusion cavern?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
AFE278	shared_repeats	Continue into the dungeon\nMysterious treasury?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
B2C0A8	shared_repeats	"???: ""O Lord! May your holy blessing be upon this traveller!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b87450.
B2C0E4	shared_repeats	"???: ""Welcome back, $t!"""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b8748c.
BCB2B4	shared_repeats	"???: ""Zzz... Zzz..."""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b93328.
BD2698	shared_repeats	Return to the dungeon\nLighthouse basement?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BD275C	shared_repeats	Continue into the dungeon\nGreat Ruins cavern - South?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BDAD54	shared_repeats	Return to the dungeon\nGreat Ruins cavern - South?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BDAE1C	shared_repeats	Continue into the dungeon\nGreat Ruins cavern - North?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BDAF2C	shared_repeats	Return to the dungeon\nJungle Island dig site?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BE3BD0	shared_repeats	Return to the dungeon\nPath of the gods?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BE3C90	shared_repeats	Continue into the dungeon\nPath of trials?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BE3EF4	shared_repeats	"???: ""Make yourself comfortable."""	Reuses independently authored English from the exact Japanese source early-journey/journey.00b875e8.
BEE678	shared_repeats	Return to the dungeon\nJungle graveyard?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BEE73C	shared_repeats	Continue into the dungeon\nJungle Island dig site?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
BF8598	shared_repeats	Continue into the dungeon\nMountain ridge?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
C01D5C	shared_repeats	Return to the dungeon\nMountain ridge?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
C0B3D8	shared_repeats	Return to the dungeon\nEvil wind cave?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
C0B4F8	shared_repeats	Continue into the dungeon\nDark chamber?	Reviewed standard dungeon-transition template; exact Japanese destination matched to existing dungeon glossary. Original Yes/No event parameters retained.
9407E8	journey_companions	"Rosa: ""Right, let's go!"""	
940804	journey_companions	"Rosa: ""Got all that? Want me to go over it again?"""	
940844	journey_companions	"Rosa: ""I'm not all that tough, so look out for me now and then, will you?"""	
940898	journey_companions	"Rosa: ""In a dungeon, use START to face me if you want to talk."""	
9408FC	journey_companions	"Rosa: ""By the way, Torneko. I forgot to mention something."""	
940938	journey_companions	"Ines: ""Shall we go, then?"""	
94095C	journey_companions	"Ines: ""Did you understand all that? Shall I explain again?"""	
9409A4	journey_companions	"Ines: ""I do know a few spells. Perhaps I can be of some help."""	
9409F8	journey_companions	"Ines: ""If you need me in a dungeon, use START to face me and speak to me."""	
940A5C	journey_companions	"Ines: ""Oh, Torneko! I forgot to tell you something important."""	
940B98	journey_companions	"Rosa: ""Not some little cave! Oh, don't you want to pray back in the village? Up to you."""	
940C04	journey_companions	"Rosa: ""Ugh, what a drag. If we're going adventuring, Torneko, let's do it properly!"""	
940C68	journey_companions	"Ines: ""Oh, now that we've escaped, it might be wise to pray in the village."""	
940CCC	journey_companions	"Ines: ""Phew... Doesn't it seem strange to find a cave like this on the surface?"""	
943020	journey_companions	Before entering, it would be wise to speak to someone who knows about these ruins.	
94306C	journey_companions	These seem to be ancient ruins that have stood here for a very long time.	
944F70	journey_companions	"Rosa: ""Sell or store something, then come back."""	
944FB8	journey_companions	"Rosa: ""Huh? You're carrying too much!"""	
944FF0	journey_companions	"Rosa: ""When you've finished your business and head back to Barinabo, I'll join you."""	
945044	journey_companions	"Rosa: ""I'll take it easy round here. And after that... Let's see..."""	
945090	journey_companions	"Rosa: ""Wave it at a monster, and it turns into an item! Here you go, Torneko!"""	
945100	journey_companions	"Rosa: ""It's my prized possession, an Itemizing staff. It's a pretty fun little thing."""	Uses existing exact item identity combined_item_080.
94515C	journey_companions	"Rosa: ""I'm impressed. Here, I'd like you to have this."""	
9451B0	journey_companions	"Rosa: ""You really put up with a lot, having me for a guide, Torneko."""	
9451FC	journey_companions	"Rosa: ""Well, that's my job done. Though I was more of a burden, really. Heh heh."""	
945268	journey_companions	"Rosa: ""Grandpa Gamlan said the person you're looking for should be somewhere here."""	
9452CC	journey_companions	"Rosa: ""That's right. Great Baleina Isle, in the far north, a long way from Barinabo."""	
94532C	journey_companions	"Rosa: ""As one of Barinabo's people of the earth, I can sense it. Our journey ends here."""	
945390	journey_companions	"Rosa: ""Ahh! Isn't the air up here great, Torneko? What do you think?"""	
9453D4	journey_companions	"Ines: ""Until then, I'll enjoy the change of air from Barinabo."""	
945424	journey_companions	"Ines: ""After this... When you've done what you came for, I'll return to Barinabo with you."""	
945488	journey_companions	"Ines: ""I'll leave you here. You won't need my guidance now. I'd only be a burden."""	
9454F4	journey_companions	"Ines: ""My task is over now. Though I've been more of a burden than a help..."""	
94554C	journey_companions	"Ines: ""Grandfather said the person you're seeking should be somewhere on this island."""	
9455B4	journey_companions	"Ines: ""Great Baleina Isle, far to the north, a long way from Barinabo."""	
9455FC	journey_companions	"Ines: ""As one of Barinabo's people of the earth, I can sense it. Our journey ends here."""	
945650	journey_companions	"Ines: ""Ahh! The air on the surface really is lovely, Torneko!"""	
9457CC	journey_companions	"Rosa: ""Hey, Torneko. Ready to take my present now?"""	
945A24	journey_companions	"Rosa: ""But if it looks too tough on you, I'll come back here on my own."""	
945A84	journey_companions	"Rosa: ""You're a funny one. Well, if you insist, I'll come along."""	
945AD4	journey_companions	"Rosa: ""See you when you've found who you're looking for and head back to Barinabo."""	
945B30	journey_companions	"Rosa: ""See you when you've finished your business and head back to Barinabo."""	
945B8C	journey_companions	"Rosa: ""Thought so. Honestly, it's a wonder we got this far! Hahaha!"""	
945BE0	journey_companions	"Rosa: ""Eh? What? You want me to go into a dungeon with you again?"""	
945C38	journey_companions	"Rosa: ""Well, now... Maybe I'll just hang around here until you're done."""	
945CBC	journey_companions	"Ines: ""But if I'm no help, I'll return here on my own. I'll be counting on you."""	
945D28	journey_companions	"Ines: ""I see... If you insist, I'll come with you."""	
945D6C	journey_companions	"Ines: ""I'm sure I'll only get in your way. Do you really want to take me?"""	
945DCC	journey_companions	"Ines: ""Of course. You can adventure on your own now, Torneko. Good luck!"""	
945E30	journey_companions	"Ines: ""You have to enter another dungeon? Surely you don't mean to take me along?"""	
945E9C	journey_companions	"Ines: ""Oh, Torneko. Have you met the king of Great Baleina?"""	
945F64	journey_companions	You can just make out the cavern entrance, but it's filled with evil. You can't get in!	
946014	journey_companions	"???: ""Ugh... My chest... It's too dangerous to enter the dungeon now... Guh..."""	
946180	journey_companions	The evil presence vanished from the cavern entrance.	
9461AC	journey_companions	Holy light burst forth from the Prayer crystal!	
952720	castle	A map hangs on the wall. The large island drawn to the north seems to be this one.	
952798	castle	It depicts a distinguished young king and his subjects.	
9527C8	castle	Title: 'Trust and Glory'	
9527E8	castle	$t examined the painting hanging on the wall.	
952930	castle	"???: ""Welcome to Great Baleina Castle."""	
952970	castle	"???: ""The king is in the throne room, but for your own sake, you'd best stay away for now."""	
9529CC	castle	"???: ""Huh? The gatekeeper opened the main doors?"""	
952AB0	castle	"???: ""Ah... I should have resigned too, like my fellow scholar who left before me."""	
952B0C	castle	"???: ""The king thinks I'm utterly useless now."""	
952B54	castle	"???: ""I've searched the old books, but found nothing about how to make a youth potion."""	
952BBC	castle	"???: ""Ah... The world outside is so bright and refreshing..."""	
952C68	castle	"???: ""Any woman fears growing old. It must be worse for someone as beautiful as she is..."""	
952CD8	castle	"???: ""Still, I do worry about the queen's health."""	
952D10	castle	"???: ""Oh, stop! Beautiful as I am, I could hardly compare with the queen. Ho ho ho!"""	
952D70	castle	"???: ""Oh? Perhaps I misheard you. Ho ho ho!"""	
952DA4	castle	"???: ""My! You think I'm the queen?"""	
952E54	castle	"???: ""The king seems to have spoiled her a little too much."""	
952E88	castle	"???: ""The king loves her so, and everyone here adores her. What more could she want?"""	
952EE0	castle	"???: ""The queen's illness is of the heart, not the body."""	
952F78	castle	"???: ""Hah! I'm not done yet! Hyaah!"""	
952FA0	castle	"???: ""Hyaaaah!"""	
95303C	castle	"???: ""With the queen confined to bed, the prince dines alone. How lonely it must be."""	
953108	castle	"Prince: ""You can have this awful food if you want it. Hmph!"""	
95313C	castle	"Prince: ""Who are you? I've never seen you before."""	
95316C	castle	"Prince: ""Tch! Even my dog Rudolph wouldn't eat food this bad!"""	
9531C8	castle	"Rudolph: ""Grrr! Woof, woof! Ruff, ruff!"""	
953224	castle	"???: ""The captain may already have set off somewhere by now."""	
953268	castle	"???: ""A little while ago, the king's shouting could be heard all the way down here."""	
9533FC	castle	"???: ""If you find the potion, could you secretly spare a little for me?"""	
953450	castle	"???: ""The king asked you to visit the old fortune-teller, didn't he?"""	
95361C	castle	"???: ""He really does care about his father and his country."""	
953660	castle	"???: ""For a child, he can seem so detached. As his attendant, I was rather worried..."""	
9536C4	castle	"???: ""I was surprised to see the prince go up to the throne room earlier."""	
9537F8	castle	"???: ""Welcome back! Please, go on through to the king!"""	
95382C	castle	"Captain: ""Yes. Sorry to worry you. I'm taking the fortune-teller to the king now."""	
953888	castle	"???: ""Ah, Captain! Welcome back!"""	
953C30	castle	"Captain: ""Ah, that'll do. Torneko, please ask your questions."""	
953C88	castle	"Samson: ""That's what I was told. Of course, I'd be happy to do anything else you ask."""	
953CE4	castle	"Samson: ""While your family stays here, I am to look after you all and mind the shop."""	
953D44	castle	"Samson: ""And prepare the shop before you return from the southern island."""	
953DA8	castle	"Samson: ""Yes. First, prepare the king's villa in Costa Libera for your family to live in."""	
953E18	castle	"Captain: ""First, do you understand the duties explained when you applied?"""	
953E84	castle	"Captain: ""Right, let's begin. Torneko, over here, please."""	
953EC4	castle	"Samson: ""My name is Samson. I've applied to work in your shop, Torneko. Pleased to meet you."""	
953F28	castle	"???: ""Our first applicant! Samson, please come in!"""	
953F58	castle	"???: ""Ah, Captain! Thank you for coming. I'll call in the first applicant."""	
953FB4	castle	"Captain: ""This way, please."""	
953FDC	castle	"Captain: ""Understandable. This has all happened rather suddenly. I'll explain again."""	
00954048	castle	"Captain: ""Shall we begin the interviews with the two candidates?"""	
00954088	castle	"Captain: ""Please judge whether they can keep your shop running while you are away."""	
009540E8	castle	"Captain: ""He was so eager that the king agreed to grant him an interview."""	
0095413C	castle	"Captain: ""The other is Douglas, a ruffian who works at the inn in the castle town."""	
009541A0	castle	"Captain: ""First is Samson, the blacksmith's grandson. He used to be a scholar here."""	
00954200	castle	"Captain: ""Let me see... The king has chosen these two applicants to meet you."""	
00954264	castle	"Captain: ""In fact, we have already sought applicants and prepared the interviews."""	
