offset	japanese	english	references	notes
0x00870BA8	＊「おや　残念だが<LF><TAB>全部売りきれてしまったようだ。<LF><TAB>しばらくたってからまたきてくれよな。	"???: ""Sorry, but we're all sold out. Come back in a while, will you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870C04	＊「ここは　道具屋だ。<LF><TAB>どんな用かね？	"???: ""This is the item shop. What can I do for you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870C2C	＊「おっと。　買い取りたいけど<LF><TAB>それ以上　お金を<LF><TAB>持てないみたいだよ。<LF>＊「売る前に　うちで<LF><TAB>なにか　買うか　どこかで<LF><TAB>つかって来ておくれよ	"???: ""I'd like to buy that, but you can't carry any more gold. Buy something here or spend some of your gold elsewhere first."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870CB8	＊「ほかにも　買うかね？	"???: ""Want to buy anything else?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870CD4	＊「ここは　杖の専門店だ。<LF><TAB>どんな用かね？	"???: ""This is the staff shop. What can I do for you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870D00	＊「ようこそ。武器の専門店に。<LF><TAB>ご用は　なんでしょう？	"???: ""Welcome to the weapon shop. How may I help you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870D38	＊「あら　そうですか。<LF><TAB>それは　残念ですわ。	"???: ""Oh, I see. What a shame."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870D68	＊「ようこそ。巻物の専門店に。<LF><TAB>ご用は　なんでしょう？	"???: ""Welcome to the scroll shop. How may I help you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870DA0	＊「ようこそ。道具屋に。<LF><TAB>ご用は　なんでしょう？	"???: ""Welcome to the item shop. How may I help you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870DD4	＊「ほかに　ご用は　ございますか？	"???: ""May I help you with anything else?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870DF8	＊「ありがとうございました。<LF><TAB>また　おこしくださいね。	"???: ""Thank you very much. Do come again!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870E30	＊「どれを　お売りになりますか？	"???: ""What would you like to sell?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870E54	＊「ほかに　用は　あるかね？	"???: ""Anything else I can do for you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870E74	＊「また　来ておくれよ。	"???: ""Come back again!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870E90	＊「おや？　そんなこと言っても<LF><TAB>お客さんは　なにも<LF><TAB>持ってないようだよ。	"???: ""Hold on. You haven't got anything to sell!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870EDC	＊「おや　そうかい。<LF><TAB>それは　残念だ。	"???: ""Oh, I see. That's a shame."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870F04	＊「う～ん……　しかし　お客さんが<LF><TAB>今　えらんだものの中には<LF><TAB>買い取れない品が　あるねえ。	"???: ""Hmm... Some of the things you've picked aren't for sale. I can't buy those."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870F60	＊「残念だけど　それは<LF><TAB>買い取れないねえ……。	"???: ""Sorry, but I can't buy that..."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870F90	＊「ええと　お客さんが売りたい物を<LF>  まとめると　$d0ゴールドに<LF>  なるが　いいかね？	"???: ""That comes to $d0 gold for everything you want to sell. Is that all right?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870FE4	＊「おっと。　買い取りたいけど<LF><TAB>それ以上　お金を<LF><TAB>持てないみたいだよ。<LF>＊「売る前に　うちで<LF><TAB>なにか　買うか　どこかで<LF><TAB>つかって来ておくれよ。	"???: ""I'd like to buy that, but you can't carry any more gold. Buy something here or spend some of your gold elsewhere first."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871074	＊「ほかにも　売ってくれるかい？	"???: ""Got anything else to sell?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871098	＊「たしかに　買い取ったよ。<LF>  まいどあり！	"???: ""I'll take them, then. Thanks for your business!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008710C4	＊「$i0だね。<LF>  $d0ゴールドで<LF>  引き取ろう。いいかい？	"???: ""$i0, eh? I'll give you $d0 gold for it. How's that?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008710FC	＊「どれを　売ってくれるんだい？	"???: ""What do you want to sell?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871120	＊「おや　残念だが<LF><TAB>お金が　たりないようだね。	"???: ""Sorry, but you haven't got enough gold."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871150	＊「おや？　わるいが<LF><TAB>持ち物が　いっぱいのようだね。<LF><LF>＊「すこし　持ち物を　売るか<LF><TAB>すてるか　あずけるか　してから<LF><TAB>また　来ておくれよ。	"???: ""Sorry, but your bag is full. Sell, discard or store some of your belongings, then come back."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008711DC	＊「おや　悪いけど<LF><TAB>もう売りきれのようだ。	"???: ""Sorry, but that's sold out."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871208	＊「はいよっ　お客さん！	"???: ""Here you go!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871224	＊「%sだね。<LF><TAB>どうも　ありがとう。<LF><TAB>%dゴールドになるが　いいかね？	"???: ""%s, eh? Thanks! That'll be %d gold. Is that all right?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871268	＊「なにを買うかね？	"???: ""What do you want to buy?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871280	＊「ここは　武器の専門店だ。<LF><TAB>どんな用かね？	"???: ""This is the weapon shop. What can I do for you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008712B0	＊「ほかに　なにか　ございますか？	"???: ""Is there anything else you need?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008712D4	＊「ありがとうございました。<LF><TAB>また　おこしくださいませ。	"???: ""Thank you very much. We look forward to your next visit."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871310	＊「しかし　お客さまは<LF><TAB>なにも　お持ちではありませんが。	"???: ""But you don't appear to have anything to sell."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087134C	＊「そうですか。<LF><TAB>それは　残念です。	"???: ""I see. What a pity."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871374	＊「お客さまが　えらんだ品の中に<LF><TAB>買い取れないものが　あります。<LF><TAB>これでは　買い取りできませんね。	"???: ""Some of the items you selected cannot be sold. I'm afraid I can't buy them."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008713D8	＊「申しわけありませんが　それは<LF><TAB>買い取り　いたしかねます。	"???: ""I'm sorry, but I cannot buy that."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871418	＊「お客さまの売る物を　まとめますと<LF>  $d0ゴールドに<LF>  なりますが　よろしいですか？	"???: ""Your items come to $d0 gold in total. Is that acceptable?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087146C	＊「申しわけ　ありませんが<LF><TAB>お客さまは　それ以上　お金を<LF><TAB>持てないみたいですね。<LF>＊「売る前に　なにか　買うとかして<LF><TAB>お金を　へらしてから　また<LF><TAB>おいでください。	"???: ""I'm sorry, but you cannot carry any more gold. Please buy something or spend some of your gold before you return."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871510	＊「ほかにも　なにか<LF><TAB>売って　いただけますか？	"???: ""Do you have anything else you wish to sell?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871540	＊「たしかに　買い取りました。<LF>  まいど　ありがとうございます。	"???: ""I'll take them, then. Thank you for your business."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871580	＊「$i0ですね。<LF>  $d0ゴールドで<LF>  お引き取り　いたしますが？	"???: ""$i0, is it? I can offer you $d0 gold. Is that acceptable?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008715C0	＊「どれを　お売りいただけますか？	"???: ""Which item would you like to sell?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008715E4	＊「申しわけ　ありませんが<LF><TAB>それを　お買いあげいただくには<LF><TAB>お金が　たりないようです。	"???: ""I'm sorry, but you don't have enough gold to buy that."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087163C	＊「申しわけ　ありませんが<LF><TAB>お客さまは　持ち物が<LF><TAB>いっぱいのようです。<LF>＊「お持ちの物を　売るか<LF><TAB>すてるか　あずけるか　してから<LF><TAB>また　おいでください。	"???: ""I'm sorry, but your bag is full. Please sell, discard or store some of your belongings before you return."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008716D4	＊「申しわけ　ありませんが<LF><TAB>商品が全部　売りきれました。<LF><TAB>また　のちほど　おこしください。	"???: ""I'm sorry, but everything is sold out. Please come back later."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871730	＊「ほかにも　なにか<LF><TAB>お買いあげに　なりますか？	"???: ""Would you like to buy anything else?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871764	＊「まいど　ありがとうございます。<LF><TAB>はい　どうぞ！	"???: ""Thank you for your business. Here you are!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871798	＊「%sですね。<LF><TAB>まいど　ありがとうございます。<LF><TAB>%dゴールドになりますが　よろしいですか？	"???: ""%s, is it? Thank you. That will be %d gold. Is that acceptable?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008717F4	＊「お買いあげ　ですね。<LF><TAB>どれに　なさいますか？	"???: ""You wish to buy something? What would you like?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871828	＊「ようこそ。よろず屋に。<LF><TAB>ご用は　なんでしょう？	"???: ""Welcome to the general store. How may I help you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008718DC	ダグラス「がんばって　ぜんぶ<LF><TAB>売り切れにしてやるから<LF><TAB>すこし　時間をくれよな！	"Douglas: ""I'll do my best to sell the lot. Just give me a little time!"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087192C	ダグラス「なんだ　やめるのか。<LF><TAB>じゃあ　なにか　売りたいものが<LF><TAB>できたら　声をかけてくれよなっ。	"Douglas: ""Changed your mind, eh? Give me a shout when you've got something to sell!"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871990	ダグラス「ありゃ？　そう言っても<LF><TAB>$tさんは　なにも<LF><TAB>持ってないじゃねえか。<LF>ダグラス「売りたいものが<LF><TAB>できたら　声をかけてくれよなっ。	"Douglas: ""Huh? You haven't got anything, $t! Give me a shout when you've got something to sell!"""	character.douglas,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871A18	ダグラス「悪いが　売り物にできない品は<LF><TAB>いくら$tさんからでも<LF><TAB>引き取れないぜ。	"Douglas: ""Sorry, but I can't take things that aren't for sale. Not even from you, $t."""	character.douglas,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871A68	ダグラス「えらんでくれた品物は<LF>  全部で　$d0ゴールドで<LF>  引き取れるけど　いいかい？	"Douglas: ""I can give you $d0 gold for everything you've picked. How's that?"""	combined_item_341,character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871ABC	ダグラス「他にも　何か<LF><TAB>売る物は　あるかい？	"Douglas: ""Got anything else to sell?"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871AEC	ダグラス「よし！　たしかに<LF>  店の仕入として　引き取ったぜ！	"Douglas: ""Right! I'll take these for the shop!"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871B28	ダグラス「$i0　だな。<LF>  それなら　$d0ゴールドで<LF>  引き取れるぜ。　それでいいかい？	"Douglas: ""$i0, eh? I can give you $d0 gold for that. How's that sound?"""	combined_item_341,character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871B7C	ダグラス「ところで　なにか<LF><TAB>売り物にする品は　あるかい？	"Douglas: ""By the way, got anything for us to sell?"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871BB8	ダグラス「もらった　品物が　売り切れるまで<LF><TAB>まってて　くれよなっ。	"Douglas: ""Hang on till I've sold everything you gave me!"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871BFC	ダグラス「品物は　ぜんぶ　売り切れて<LF><TAB>これが　その売上金だ。<LF><TAB>さあ　受け取ってくれ！	"Douglas: ""We sold the lot! Here's the money we made. Go on, take it!"""	character.douglas	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871C54	ダグラス「よう！　$tさん。<LF><TAB>店は　この通り　バッチリ<LF><TAB>はんじょう　してるぜ。	"Douglas: ""Hey, $t! As you can see, business is booming!"""	character.douglas,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871CA4	ダグラス「よう！　$tさん。<LF><TAB>こんな　状態だけど<LF><TAB>なんとか　商売するぜ。	"Douglas: ""Hey, $t! Things are a mess, but I'll keep the shop going somehow."""	character.douglas,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871CEC	ダグラス「おお　$tさん<LF><TAB>お帰りっ！！<LF><LF>ダグラス「実は　店を開いて　すぐに<LF><TAB>グレートバレイナ王が　売り物を<LF><TAB>わけてくれてよう。<LF>ダグラス「その品物は　ぜんぶ　売り切れて<LF><TAB>これが　その売上金だ。<LF><TAB>さあ　受け取ってくれ！	"Douglas: ""Hey, $t! Welcome back! Soon after we opened, the King of Great Baleina gave us some stock. We sold the lot! Here's the money we made. Go on, take it!"""	character.douglas,torneko,enemy_tipper,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871DC4	サムソン「がんばって　すべての<LF><TAB>品物を　売り切ってみせますから<LF><TAB>すこし　お時間をくださいね。	"Samson: ""I'll do my very best to sell everything. Please give me a little time."""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871E24	サムソン「そうですか。　では　もし<LF><TAB>売りたいものが　できたら<LF><TAB>また　お持ちくださいね。	"Samson: ""I see. Well, if you find anything you'd like to sell, please bring it along."""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871E7C	サムソン「おや？　しかし<LF><TAB>$tさまは　なにも<LF><TAB>お持ちでないようですよ。<LF>サムソン「売りたいものが　できたら<LF><TAB>また　お持ちくださいね。	"Samson: ""Oh? You don't seem to have anything, $t. If you find anything you'd like to sell, please bring it along."""	character.samson,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871F00	サムソン「申しわけありませんが<LF><TAB>売り物にできない　品物は<LF><TAB>お引き取りできません。	"Samson: ""I'm sorry, but I cannot accept items that aren't for sale."""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871F54	サムソン「えらんでいただいた品物は<LF>  全部で　$d0ゴールドで<LF>  引き取れますが　よろしいですか？	"Samson: ""I can offer $d0 gold for all the items you selected. Is that acceptable?"""	combined_item_341,character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871FB4	サムソン「他にも　何か<LF><TAB>売り物にするものは　ありますか？	"Samson: ""Do you have anything else for us to sell?"""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00871FF0	サムソン「では　お店の仕入として<LF>  引き取らせていただきます。	"Samson: ""I'll take these as stock for the shop, then."""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872030	サムソン「$i0ですね。<LF>  それでしたら　$d0ゴールドで<LF>  引き取れますが　よろしいですか？	"Samson: ""$i0, is it? I can offer you $d0 gold for that. Is that acceptable?"""	combined_item_341,character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872088	サムソン「ところで　なにか<LF><TAB>売り物にする品は　ありますか？	"Samson: ""By the way, do you have any items for us to sell?"""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008720C4	サムソン「がんばって　お店を<LF><TAB>はんじょうさせますよ！	"Samson: ""I'll work hard to make this shop a success!"""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008720FC	サムソン「品物は　すべて　売り切れて<LF><TAB>これが　その売上金です。<LF><TAB>どうぞ　お受け取りください。	"Samson: ""We've sold everything. Here are the proceeds. Please accept them!"""	character.samson	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087215C	サムソン「おお　$tさま。<LF><TAB>おかげさまで　お店は順調ですよ。<LF><TAB>安心して　おまかせください。	"Samson: ""Hello, $t. Thanks to you, the shop is doing well. You can leave it in my hands."""	character.samson,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008721B8	サムソン「おお　$tさま。<LF><TAB>たいへんな　ことになってますが<LF><TAB>めげずに　がんばります！	"Samson: ""Hello, $t. Things have taken a terrible turn, but I won't give up!"""	character.samson,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
